"Name","Live Births to Mothers on Medicaid"
"Description","The percentage of births to mothers on Medicaid.&nbsp;"
"Source Notes","New York City Department of Health and Mental Hygiene, Bureau of Vital Statistics, Summary of Vital Statistics (2000-2019); retrieved from&nbsp;<a href=""https://www1.nyc.gov/site/doh/data/data-publications/periodic-publications.page"" target=""_blank"">https://www1.nyc.gov/site/doh/data/data-publications/periodic-publications.page</a>.<a href=""https://www1.nyc.gov/assets/doh/downloads/pdf/vs/2017sum.pdf"" target=""_blank""></a><a href=""https://www1.nyc.gov/site/doh/data/vital-statistics/vital-statistics-summary.page"" target=""_blank""></a>"
"Notes","Since 2008 ""On Medicaid"" also includes Family Health Plus, Other government, and Child Health Plus B."

Location,TimeFrame,DataFormat,Data,Fips
New York City,2019,Percent,0.564,3651000
New York City,2018,Percent,0.575,3651000
New York City,2000,Percent,0.51,3651000
New York City,2001,Percent,0.518,3651000
New York City,2002,Percent,0.517,3651000
New York City,2003,Percent,0.512,3651000
New York City,2004,Percent,0.518,3651000
New York City,2005,Percent,0.517,3651000
New York City,2006,Percent,0.531,3651000
New York City,2007,Percent,0.521,3651000
New York City,2008,Percent,0.58,3651000
New York City,2009,Percent,0.596,3651000
New York City,2010,Percent,0.601,3651000
New York City,2011,Percent,0.597,3651000
New York City,2012,Percent,0.594,3651000
New York City,2013,Percent,0.588,3651000
New York City,2014,Percent,0.591,3651000
New York City,2015,Percent,0.594,3651000
New York City,2016,Percent,0.589,3651000
New York City,2017,Percent,0.586,3651000
Manhattan,2017,Percent,0.325,36061
Manhattan,2006,Percent,0.414,36061
Manhattan,2005,Percent,0.418,36061
Manhattan,2010,Percent,0.383,36061
Manhattan,2009,Percent,0.385,36061
Manhattan,2008,Percent,0.398,36061
Manhattan,2007,Percent,0.392,36061
Manhattan,2016,Percent,0.335,36061
Manhattan,2019,Percent,0.293,36061
Manhattan,2015,Percent,0.34,36061
Manhattan,2014,Percent,0.347,36061
Manhattan,2013,Percent,0.348,36061
Manhattan,2012,Percent,0.359,36061
Manhattan,2011,Percent,0.379,36061
Manhattan,2018,Percent,0.31,36061
Battery Park/Tribeca,2019,Percent,0.043,101
Battery Park/Tribeca,2018,Percent,0.033,101
Battery Park/Tribeca,2016,Percent,0.043,101
Battery Park/Tribeca,2015,Percent,0.048,101
Battery Park/Tribeca,2014,Percent,0.057,101
Battery Park/Tribeca,2013,Percent,0.036,101
Battery Park/Tribeca,2012,Percent,0.048,101
Battery Park/Tribeca,2011,Percent,0.056,101
Battery Park/Tribeca,2010,Percent,0.058,101
Battery Park/Tribeca,2009,Percent,0.037,101
Battery Park/Tribeca,2017,Percent,0.041,101
Battery Park/Tribeca,2008,Percent,0.041,101
Battery Park/Tribeca,2007,Percent,0.052,101
Battery Park/Tribeca,2006,Percent,0.05,101
Battery Park/Tribeca,2005,Percent,0.054,101
Greenwich Village,2005,Percent,0.138,102
Greenwich Village,2006,Percent,0.131,102
Greenwich Village,2007,Percent,0.15,102
Greenwich Village,2008,Percent,0.143,102
Greenwich Village,2017,Percent,0.096,102
Greenwich Village,2009,Percent,0.12,102
Greenwich Village,2010,Percent,0.141,102
Greenwich Village,2011,Percent,0.14,102
Greenwich Village,2012,Percent,0.098,102
Greenwich Village,2013,Percent,0.114,102
Greenwich Village,2014,Percent,0.092,102
Greenwich Village,2015,Percent,0.09,102
Greenwich Village,2016,Percent,0.103,102
Greenwich Village,2018,Percent,0.066,102
Greenwich Village,2019,Percent,0.065,102
Lower East Side,2019,Percent,0.563,103
Lower East Side,2018,Percent,0.557,103
Lower East Side,2016,Percent,0.625,103
Lower East Side,2015,Percent,0.625,103
Lower East Side,2014,Percent,0.64,103
Lower East Side,2013,Percent,0.639,103
Lower East Side,2012,Percent,0.687,103
Lower East Side,2011,Percent,0.694,103
Lower East Side,2010,Percent,0.686,103
Lower East Side,2009,Percent,0.682,103
Lower East Side,2017,Percent,0.584,103
Lower East Side,2008,Percent,0.713,103
Lower East Side,2007,Percent,0.694,103
Lower East Side,2006,Percent,0.69,103
Lower East Side,2005,Percent,0.676,103
Chelsea/Clinton,2005,Percent,0.298,104
Chelsea/Clinton,2006,Percent,0.251,104
Chelsea/Clinton,2007,Percent,0.204,104
Chelsea/Clinton,2008,Percent,0.257,104
Chelsea/Clinton,2017,Percent,0.207,104
Chelsea/Clinton,2009,Percent,0.221,104
Chelsea/Clinton,2010,Percent,0.237,104
Chelsea/Clinton,2011,Percent,0.24,104
Chelsea/Clinton,2012,Percent,0.205,104
Chelsea/Clinton,2013,Percent,0.209,104
Chelsea/Clinton,2014,Percent,0.197,104
Chelsea/Clinton,2015,Percent,0.235,104
Chelsea/Clinton,2016,Percent,0.194,104
Chelsea/Clinton,2018,Percent,0.194,104
Chelsea/Clinton,2019,Percent,0.195,104
Midtown Business District,2019,Percent,0.166,105
Midtown Business District,2018,Percent,0.125,105
Midtown Business District,2016,Percent,0.092,105
Midtown Business District,2015,Percent,0.096,105
Midtown Business District,2014,Percent,0.124,105
Midtown Business District,2013,Percent,0.122,105
Midtown Business District,2012,Percent,0.097,105
Midtown Business District,2011,Percent,0.088,105
Midtown Business District,2010,Percent,0.09,105
Midtown Business District,2009,Percent,0.094,105
Midtown Business District,2017,Percent,0.111,105
