"Notes"	"County of Residence"	"County of Residence Code"	"Mother's Single Race 6"	"Mother's Single Race 6 Code"	"Mother's Hispanic Origin"	"Mother's Hispanic Origin Code"	"Age of Mother 9"	"Age of Mother 9 Code"	Births
	"Albany County, NY"	"36001"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"Under 15 years"	"15"	Suppressed
	"Albany County, NY"	"36001"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"15-19 years"	"15-19"	Suppressed
	"Albany County, NY"	"36001"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"20-24 years"	"20-24"	Suppressed
	"Albany County, NY"	"36001"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"25-29 years"	"25-29"	Suppressed
	"Albany County, NY"	"36001"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"30-34 years"	"30-34"	Suppressed
	"Albany County, NY"	"36001"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"35-39 years"	"35-39"	Suppressed
	"Albany County, NY"	"36001"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"40-44 years"	"40-44"	Suppressed
	"Albany County, NY"	"36001"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"45-49 years"	"45-49"	Suppressed
	"Albany County, NY"	"36001"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"50 years and over"	"50+"	Suppressed
"Total"	"Albany County, NY"	"36001"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"			Suppressed
	"Albany County, NY"	"36001"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"Under 15 years"	"15"	Suppressed
	"Albany County, NY"	"36001"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"15-19 years"	"15-19"	Suppressed
	"Albany County, NY"	"36001"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"20-24 years"	"20-24"	Suppressed
	"Albany County, NY"	"36001"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"25-29 years"	"25-29"	13
	"Albany County, NY"	"36001"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"30-34 years"	"30-34"	21
	"Albany County, NY"	"36001"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"35-39 years"	"35-39"	Suppressed
	"Albany County, NY"	"36001"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"40-44 years"	"40-44"	Suppressed
	"Albany County, NY"	"36001"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"45-49 years"	"45-49"	Suppressed
	"Albany County, NY"	"36001"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"50 years and over"	"50+"	Suppressed
"Total"	"Albany County, NY"	"36001"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"			46
"Total"	"Albany County, NY"	"36001"	"Asian"	"A"					48
	"Albany County, NY"	"36001"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"Under 15 years"	"15"	Suppressed
	"Albany County, NY"	"36001"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"15-19 years"	"15-19"	Suppressed
	"Albany County, NY"	"36001"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"20-24 years"	"20-24"	Suppressed
	"Albany County, NY"	"36001"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"25-29 years"	"25-29"	Suppressed
	"Albany County, NY"	"36001"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"30-34 years"	"30-34"	Suppressed
	"Albany County, NY"	"36001"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"35-39 years"	"35-39"	Suppressed
	"Albany County, NY"	"36001"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"40-44 years"	"40-44"	Suppressed
	"Albany County, NY"	"36001"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"45-49 years"	"45-49"	Suppressed
	"Albany County, NY"	"36001"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"50 years and over"	"50+"	Suppressed
"Total"	"Albany County, NY"	"36001"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"			16
	"Albany County, NY"	"36001"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"Under 15 years"	"15"	Suppressed
	"Albany County, NY"	"36001"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"15-19 years"	"15-19"	11
	"Albany County, NY"	"36001"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"20-24 years"	"20-24"	18
	"Albany County, NY"	"36001"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"25-29 years"	"25-29"	28
	"Albany County, NY"	"36001"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"30-34 years"	"30-34"	18
	"Albany County, NY"	"36001"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"35-39 years"	"35-39"	10
	"Albany County, NY"	"36001"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"40-44 years"	"40-44"	Suppressed
	"Albany County, NY"	"36001"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"45-49 years"	"45-49"	Suppressed
	"Albany County, NY"	"36001"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"50 years and over"	"50+"	Suppressed
"Total"	"Albany County, NY"	"36001"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"			92
"Total"	"Albany County, NY"	"36001"	"Black or African American"	"2054-5"					108
	"Albany County, NY"	"36001"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"Under 15 years"	"15"	Suppressed
	"Albany County, NY"	"36001"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"15-19 years"	"15-19"	Suppressed
	"Albany County, NY"	"36001"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"20-24 years"	"20-24"	Suppressed
	"Albany County, NY"	"36001"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"25-29 years"	"25-29"	Suppressed
	"Albany County, NY"	"36001"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"30-34 years"	"30-34"	Suppressed
	"Albany County, NY"	"36001"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"35-39 years"	"35-39"	Suppressed
	"Albany County, NY"	"36001"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"40-44 years"	"40-44"	Suppressed
	"Albany County, NY"	"36001"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"45-49 years"	"45-49"	Suppressed
	"Albany County, NY"	"36001"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"50 years and over"	"50+"	Suppressed
"Total"	"Albany County, NY"	"36001"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"			15
	"Albany County, NY"	"36001"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"Under 15 years"	"15"	Suppressed
	"Albany County, NY"	"36001"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"15-19 years"	"15-19"	Suppressed
	"Albany County, NY"	"36001"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"20-24 years"	"20-24"	29
	"Albany County, NY"	"36001"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"25-29 years"	"25-29"	41
	"Albany County, NY"	"36001"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"30-34 years"	"30-34"	45
	"Albany County, NY"	"36001"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"35-39 years"	"35-39"	23
	"Albany County, NY"	"36001"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"40-44 years"	"40-44"	Suppressed
	"Albany County, NY"	"36001"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"45-49 years"	"45-49"	Suppressed
	"Albany County, NY"	"36001"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	"50 years and over"	"50+"	Suppressed
"Total"	"Albany County, NY"	"36001"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"			150
"Total"	"Albany County, NY"	"36001"	"White"	"2106-3"					165
"Total"	"Albany County, NY"	"36001"							321
	"Bronx County, NY"	"36005"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"Under 15 years"	"15"	Suppressed
	"Bronx County, NY"	"36005"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"15-19 years"	"15-19"	Suppressed
	"Bronx County, NY"	"36005"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"20-24 years"	"20-24"	14
	"Bronx County, NY"	"36005"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"25-29 years"	"25-29"	12
	"Bronx County, NY"	"36005"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"30-34 years"	"30-34"	Suppressed
	"Bronx County, NY"	"36005"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"35-39 years"	"35-39"	Suppressed
	"Bronx County, NY"	"36005"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"40-44 years"	"40-44"	Suppressed
	"Bronx County, NY"	"36005"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"45-49 years"	"45-49"	Suppressed
	"Bronx County, NY"	"36005"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	"50 years and over"	"50+"	Suppressed
"Total"	"Bronx County, NY"	"36005"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"			50
	"Bronx County, NY"	"36005"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"Under 15 years"	"15"	Suppressed
	"Bronx County, NY"	"36005"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"15-19 years"	"15-19"	Suppressed
	"Bronx County, NY"	"36005"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"20-24 years"	"20-24"	49
	"Bronx County, NY"	"36005"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"25-29 years"	"25-29"	121
	"Bronx County, NY"	"36005"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"30-34 years"	"30-34"	89
	"Bronx County, NY"	"36005"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"35-39 years"	"35-39"	31
	"Bronx County, NY"	"36005"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"40-44 years"	"40-44"	10
	"Bronx County, NY"	"36005"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"45-49 years"	"45-49"	Suppressed
	"Bronx County, NY"	"36005"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	"50 years and over"	"50+"	Suppressed
"Total"	"Bronx County, NY"	"36005"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"			305
"Total"	"Bronx County, NY"	"36005"	"Asian"	"A"					355
	"Bronx County, NY"	"36005"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"Under 15 years"	"15"	Suppressed
	"Bronx County, NY"	"36005"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"15-19 years"	"15-19"	41
	"Bronx County, NY"	"36005"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"20-24 years"	"20-24"	142
	"Bronx County, NY"	"36005"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"25-29 years"	"25-29"	159
	"Bronx County, NY"	"36005"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"30-34 years"	"30-34"	108
	"Bronx County, NY"	"36005"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"35-39 years"	"35-39"	74
	"Bronx County, NY"	"36005"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"40-44 years"	"40-44"	16
	"Bronx County, NY"	"36005"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"45-49 years"	"45-49"	Suppressed
	"Bronx County, NY"	"36005"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	"50 years and over"	"50+"	Suppressed
"Total"	"Bronx County, NY"	"36005"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"			541
	"Bronx County, NY"	"36005"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"Under 15 years"	"15"	Suppressed
	"Bronx County, NY"	"36005"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"15-19 years"	"15-19"	61
	"Bronx County, NY"	"36005"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"20-24 years"	"20-24"	221
	"Bronx County, NY"	"36005"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"25-29 years"	"25-29"	310
	"Bronx County, NY"	"36005"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"30-34 years"	"30-34"	288
	"Bronx County, NY"	"36005"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"35-39 years"	"35-39"	182
	"Bronx County, NY"	"36005"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"40-44 years"	"40-44"	75
	"Bronx County, NY"	"36005"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"45-49 years"	"45-49"	Suppressed
	"Bronx County, NY"	"36005"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	"50 years and over"	"50+"	Suppressed
"Total"	"Bronx County, NY"	"36005"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"			1143
"Total"	"Bronx County, NY"	"36005"	"Black or African American"	"2054-5"					1684
	"Bronx County, NY"	"36005"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"Under 15 years"	"15"	Suppressed
	"Bronx County, NY"	"36005"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"15-19 years"	"15-19"	82
	"Bronx County, NY"	"36005"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"20-24 years"	"20-24"	242
	"Bronx County, NY"	"36005"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	"25-29 years"	"25-29"	310
