"Notes"	"County of Residence"	"County of Residence Code"	"Age of Mother 9"	"Age of Mother 9 Code"	Births
	"Albany County, NY"	"36001"	"Under 15 years"	"15"	Suppressed
	"Albany County, NY"	"36001"	"15-19 years"	"15-19"	21
	"Albany County, NY"	"36001"	"20-24 years"	"20-24"	56
	"Albany County, NY"	"36001"	"25-29 years"	"25-29"	91
	"Albany County, NY"	"36001"	"30-34 years"	"30-34"	92
	"Albany County, NY"	"36001"	"35-39 years"	"35-39"	42
	"Albany County, NY"	"36001"	"40-44 years"	"40-44"	18
	"Albany County, NY"	"36001"	"45-49 years"	"45-49"	Suppressed
	"Albany County, NY"	"36001"	"50 years and over"	"50+"	Suppressed
"Total"	"Albany County, NY"	"36001"			321
	"Bronx County, NY"	"36005"	"Under 15 years"	"15"	Suppressed
	"Bronx County, NY"	"36005"	"15-19 years"	"15-19"	201
	"Bronx County, NY"	"36005"	"20-24 years"	"20-24"	705
	"Bronx County, NY"	"36005"	"25-29 years"	"25-29"	965
	"Bronx County, NY"	"36005"	"30-34 years"	"30-34"	766
	"Bronx County, NY"	"36005"	"35-39 years"	"35-39"	485
	"Bronx County, NY"	"36005"	"40-44 years"	"40-44"	168
	"Bronx County, NY"	"36005"	"45-49 years"	"45-49"	Suppressed
	"Bronx County, NY"	"36005"	"50 years and over"	"50+"	Suppressed
"Total"	"Bronx County, NY"	"36005"			3302
	"Broome County, NY"	"36007"	"Under 15 years"	"15"	Suppressed
	"Broome County, NY"	"36007"	"15-19 years"	"15-19"	18
	"Broome County, NY"	"36007"	"20-24 years"	"20-24"	49
	"Broome County, NY"	"36007"	"25-29 years"	"25-29"	64
	"Broome County, NY"	"36007"	"30-34 years"	"30-34"	55
	"Broome County, NY"	"36007"	"35-39 years"	"35-39"	30
	"Broome County, NY"	"36007"	"40-44 years"	"40-44"	Suppressed
	"Broome County, NY"	"36007"	"45-49 years"	"45-49"	Suppressed
	"Broome County, NY"	"36007"	"50 years and over"	"50+"	Suppressed
"Total"	"Broome County, NY"	"36007"			224
	"Chautauqua County, NY"	"36013"	"Under 15 years"	"15"	Suppressed
	"Chautauqua County, NY"	"36013"	"15-19 years"	"15-19"	16
	"Chautauqua County, NY"	"36013"	"20-24 years"	"20-24"	49
	"Chautauqua County, NY"	"36013"	"25-29 years"	"25-29"	50
	"Chautauqua County, NY"	"36013"	"30-34 years"	"30-34"	32
	"Chautauqua County, NY"	"36013"	"35-39 years"	"35-39"	11
	"Chautauqua County, NY"	"36013"	"40-44 years"	"40-44"	Suppressed
	"Chautauqua County, NY"	"36013"	"45-49 years"	"45-49"	Suppressed
	"Chautauqua County, NY"	"36013"	"50 years and over"	"50+"	Suppressed
"Total"	"Chautauqua County, NY"	"36013"			163
	"Dutchess County, NY"	"36027"	"Under 15 years"	"15"	Suppressed
	"Dutchess County, NY"	"36027"	"15-19 years"	"15-19"	Suppressed
	"Dutchess County, NY"	"36027"	"20-24 years"	"20-24"	45
	"Dutchess County, NY"	"36027"	"25-29 years"	"25-29"	66
	"Dutchess County, NY"	"36027"	"30-34 years"	"30-34"	74
	"Dutchess County, NY"	"36027"	"35-39 years"	"35-39"	51
	"Dutchess County, NY"	"36027"	"40-44 years"	"40-44"	13
	"Dutchess County, NY"	"36027"	"45-49 years"	"45-49"	Suppressed
	"Dutchess County, NY"	"36027"	"50 years and over"	"50+"	Suppressed
"Total"	"Dutchess County, NY"	"36027"			256
	"Erie County, NY"	"36029"	"Under 15 years"	"15"	Suppressed
	"Erie County, NY"	"36029"	"15-19 years"	"15-19"	77
	"Erie County, NY"	"36029"	"20-24 years"	"20-24"	284
	"Erie County, NY"	"36029"	"25-29 years"	"25-29"	330
	"Erie County, NY"	"36029"	"30-34 years"	"30-34"	338
	"Erie County, NY"	"36029"	"35-39 years"	"35-39"	189
	"Erie County, NY"	"36029"	"40-44 years"	"40-44"	46
	"Erie County, NY"	"36029"	"45-49 years"	"45-49"	Suppressed
	"Erie County, NY"	"36029"	"50 years and over"	"50+"	Suppressed
"Total"	"Erie County, NY"	"36029"			1267
	"Jefferson County, NY"	"36045"	"Under 15 years"	"15"	Suppressed
	"Jefferson County, NY"	"36045"	"15-19 years"	"15-19"	17
	"Jefferson County, NY"	"36045"	"20-24 years"	"20-24"	67
	"Jefferson County, NY"	"36045"	"25-29 years"	"25-29"	48
	"Jefferson County, NY"	"36045"	"30-34 years"	"30-34"	29
	"Jefferson County, NY"	"36045"	"35-39 years"	"35-39"	23
	"Jefferson County, NY"	"36045"	"40-44 years"	"40-44"	Suppressed
	"Jefferson County, NY"	"36045"	"45-49 years"	"45-49"	Suppressed
	"Jefferson County, NY"	"36045"	"50 years and over"	"50+"	Suppressed
"Total"	"Jefferson County, NY"	"36045"			186
	"Kings County, NY"	"36047"	"Under 15 years"	"15"	Suppressed
