"Notes"	"County of Residence"	"County of Residence Code"	"Mother's Weight Gain Recode"	"Mother's Weight Gain Recode Code"	Births
	"Albany County, NY"	"36001"	"Less than 11 pounds"	"1"	90
	"Albany County, NY"	"36001"	"11 to 20 pounds"	"2"	110
	"Albany County, NY"	"36001"	"21 to 30 pounds"	"3"	77
	"Albany County, NY"	"36001"	"31 to 40 pounds"	"4"	32
	"Albany County, NY"	"36001"	"41 to 98 pounds"	"5"	21
	"Albany County, NY"	"36001"	"Unknown or Not Stated"	"9"	32
	"Bronx County, NY"	"36005"	"Less than 11 pounds"	"1"	505
	"Bronx County, NY"	"36005"	"11 to 20 pounds"	"2"	1029
	"Bronx County, NY"	"36005"	"21 to 30 pounds"	"3"	1061
	"Bronx County, NY"	"36005"	"31 to 40 pounds"	"4"	407
	"Bronx County, NY"	"36005"	"41 to 98 pounds"	"5"	255
	"Bronx County, NY"	"36005"	"Unknown or Not Stated"	"9"	43
	"Broome County, NY"	"36007"	"Less than 11 pounds"	"1"	68
	"Broome County, NY"	"36007"	"11 to 20 pounds"	"2"	52
	"Broome County, NY"	"36007"	"21 to 30 pounds"	"3"	42
	"Broome County, NY"	"36007"	"31 to 40 pounds"	"4"	23
	"Broome County, NY"	"36007"	"41 to 98 pounds"	"5"	25
	"Broome County, NY"	"36007"	"Unknown or Not Stated"	"9"	15
	"Chautauqua County, NY"	"36013"	"Less than 11 pounds"	"1"	30
	"Chautauqua County, NY"	"36013"	"11 to 20 pounds"	"2"	38
	"Chautauqua County, NY"	"36013"	"21 to 30 pounds"	"3"	21
	"Chautauqua County, NY"	"36013"	"31 to 40 pounds"	"4"	Suppressed
	"Chautauqua County, NY"	"36013"	"41 to 98 pounds"	"5"	10
	"Chautauqua County, NY"	"36013"	"Unknown or Not Stated"	"9"	31
	"Dutchess County, NY"	"36027"	"Less than 11 pounds"	"1"	72
	"Dutchess County, NY"	"36027"	"11 to 20 pounds"	"2"	92
	"Dutchess County, NY"	"36027"	"21 to 30 pounds"	"3"	61
	"Dutchess County, NY"	"36027"	"31 to 40 pounds"	"4"	29
	"Dutchess County, NY"	"36027"	"41 to 98 pounds"	"5"	17
	"Dutchess County, NY"	"36027"	"Unknown or Not Stated"	"9"	14
	"Erie County, NY"	"36029"	"Less than 11 pounds"	"1"	287
	"Erie County, NY"	"36029"	"11 to 20 pounds"	"2"	345
	"Erie County, NY"	"36029"	"21 to 30 pounds"	"3"	245
	"Erie County, NY"	"36029"	"31 to 40 pounds"	"4"	118
	"Erie County, NY"	"36029"	"41 to 98 pounds"	"5"	67
	"Erie County, NY"	"36029"	"Unknown or Not Stated"	"9"	256
	"Jefferson County, NY"	"36045"	"Less than 11 pounds"	"1"	51
	"Jefferson County, NY"	"36045"	"11 to 20 pounds"	"2"	46
	"Jefferson County, NY"	"36045"	"21 to 30 pounds"	"3"	50
	"Jefferson County, NY"	"36045"	"31 to 40 pounds"	"4"	17
	"Jefferson County, NY"	"36045"	"41 to 98 pounds"	"5"	29
	"Jefferson County, NY"	"36045"	"Unknown or Not Stated"	"9"	11
	"Kings County, NY"	"36047"	"Less than 11 pounds"	"1"	668
	"Kings County, NY"	"36047"	"11 to 20 pounds"	"2"	1259
	"Kings County, NY"	"36047"	"21 to 30 pounds"	"3"	1277
	"Kings County, NY"	"36047"	"31 to 40 pounds"	"4"	756
	"Kings County, NY"	"36047"	"41 to 98 pounds"	"5"	321
	"Kings County, NY"	"36047"	"Unknown or Not Stated"	"9"	126
	"Monroe County, NY"	"36055"	"Less than 11 pounds"	"1"	233
	"Monroe County, NY"	"36055"	"11 to 20 pounds"	"2"	241
	"Monroe County, NY"	"36055"	"21 to 30 pounds"	"3"	193
	"Monroe County, NY"	"36055"	"31 to 40 pounds"	"4"	129
	"Monroe County, NY"	"36055"	"41 to 98 pounds"	"5"	78
	"Monroe County, NY"	"36055"	"Unknown or Not Stated"	"9"	236
	"Nassau County, NY"	"36059"	"Less than 11 pounds"	"1"	253
	"Nassau County, NY"	"36059"	"11 to 20 pounds"	"2"	444
	"Nassau County, NY"	"36059"	"21 to 30 pounds"	"3"	420
	"Nassau County, NY"	"36059"	"31 to 40 pounds"	"4"	189
	"Nassau County, NY"	"36059"	"41 to 98 pounds"	"5"	143
	"Nassau County, NY"	"36059"	"Unknown or Not Stated"	"9"	46
	"New York County, NY"	"36061"	"Less than 11 pounds"	"1"	275
	"New York County, NY"	"36061"	"11 to 20 pounds"	"2"	513
	"New York County, NY"	"36061"	"21 to 30 pounds"	"3"	550
	"New York County, NY"	"36061"	"31 to 40 pounds"	"4"	261
	"New York County, NY"	"36061"	"41 to 98 pounds"	"5"	109
	"New York County, NY"	"36061"	"Unknown or Not Stated"	"9"	44
	"Niagara County, NY"	"36063"	"Less than 11 pounds"	"1"	51
	"Niagara County, NY"	"36063"	"11 to 20 pounds"	"2"	67
	"Niagara County, NY"	"36063"	"21 to 30 pounds"	"3"	48
	"Niagara County, NY"	"36063"	"31 to 40 pounds"	"4"	17
	"Niagara County, NY"	"36063"	"41 to 98 pounds"	"5"	14
	"Niagara County, NY"	"36063"	"Unknown or Not Stated"	"9"	56
	"Oneida County, NY"	"36065"	"Less than 11 pounds"	"1"	88
	"Oneida County, NY"	"36065"	"11 to 20 pounds"	"2"	85
	"Oneida County, NY"	"36065"	"21 to 30 pounds"	"3"	55
	"Oneida County, NY"	"36065"	"31 to 40 pounds"	"4"	31
	"Oneida County, NY"	"36065"	"41 to 98 pounds"	"5"	13
	"Oneida County, NY"	"36065"	"Unknown or Not Stated"	"9"	10
	"Onondaga County, NY"	"36067"	"Less than 11 pounds"	"1"	184
