Notes	County of Residence	County of Residence Code	Mother's Single Race 6	Mother's Single Race 6 Code	Plurality	Plurality Code	Infant Birth Weight 12	Infant Birth Weight 12 Code	Births
	"Albany County, NY"	36001	American Indian or Alaska Native	1002-5	Single	1	500 - 999 grams	2	Suppressed
	"Albany County, NY"	36001	American Indian or Alaska Native	1002-5	Single	1	1000 - 1499 grams	3	Suppressed
	"Albany County, NY"	36001	Asian	A	Single	1	500 - 999 grams	2	Suppressed
	"Albany County, NY"	36001	Asian	A	Single	1	1000 - 1499 grams	3	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	Single	1	500 - 999 grams	2	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	Single	1	1000 - 1499 grams	3	Suppressed
	"Albany County, NY"	36001	Native Hawaiian or Other Pacific Islander	NHOPI	Single	1	500 - 999 grams	2	Suppressed
	"Albany County, NY"	36001	Native Hawaiian or Other Pacific Islander	NHOPI	Single	1	1000 - 1499 grams	3	Suppressed
	"Albany County, NY"	36001	White	2106-3	Single	1	500 - 999 grams	2	11
	"Albany County, NY"	36001	White	2106-3	Single	1	1000 - 1499 grams	3	Suppressed
	"Bronx County, NY"	36005	American Indian or Alaska Native	1002-5	Single	1	500 - 999 grams	2	Suppressed
	"Bronx County, NY"	36005	American Indian or Alaska Native	1002-5	Single	1	1000 - 1499 grams	3	Suppressed
	"Bronx County, NY"	36005	Asian	A	Single	1	500 - 999 grams	2	Suppressed
	"Bronx County, NY"	36005	Asian	A	Single	1	1000 - 1499 grams	3	Suppressed
	"Bronx County, NY"	36005	Black or African American	2054-5	Single	1	500 - 999 grams	2	89
	"Bronx County, NY"	36005	Black or African American	2054-5	Single	1	1000 - 1499 grams	3	71
	"Bronx County, NY"	36005	Native Hawaiian or Other Pacific Islander	NHOPI	Single	1	500 - 999 grams	2	Suppressed
	"Bronx County, NY"	36005	Native Hawaiian or Other Pacific Islander	NHOPI	Single	1	1000 - 1499 grams	3	Suppressed
	"Bronx County, NY"	36005	White	2106-3	Single	1	500 - 999 grams	2	28
	"Bronx County, NY"	36005	White	2106-3	Single	1	1000 - 1499 grams	3	47
	"Broome County, NY"	36007	American Indian or Alaska Native	1002-5	Single	1	500 - 999 grams	2	Suppressed
	"Broome County, NY"	36007	American Indian or Alaska Native	1002-5	Single	1	1000 - 1499 grams	3	Suppressed
	"Broome County, NY"	36007	Asian	A	Single	1	500 - 999 grams	2	Suppressed
	"Broome County, NY"	36007	Asian	A	Single	1	1000 - 1499 grams	3	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	Single	1	500 - 999 grams	2	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	Single	1	1000 - 1499 grams	3	Suppressed
	"Broome County, NY"	36007	Native Hawaiian or Other Pacific Islander	NHOPI	Single	1	500 - 999 grams	2	Suppressed
	"Broome County, NY"	36007	Native Hawaiian or Other Pacific Islander	NHOPI	Single	1	1000 - 1499 grams	3	Suppressed
	"Broome County, NY"	36007	White	2106-3	Single	1	500 - 999 grams	2	Suppressed
	"Broome County, NY"	36007	White	2106-3	Single	1	1000 - 1499 grams	3	Suppressed
	"Chautauqua County, NY"	36013	American Indian or Alaska Native	1002-5	Single	1	500 - 999 grams	2	Suppressed
	"Chautauqua County, NY"	36013	American Indian or Alaska Native	1002-5	Single	1	1000 - 1499 grams	3	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Single	1	500 - 999 grams	2	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Single	1	1000 - 1499 grams	3	Suppressed
	"Chautauqua County, NY"	36013	Black or African American	2054-5	Single	1	500 - 999 grams	2	Suppressed
	"Chautauqua County, NY"	36013	Black or African American	2054-5	Single	1	1000 - 1499 grams	3	Suppressed
	"Chautauqua County, NY"	36013	Native Hawaiian or Other Pacific Islander	NHOPI	Single	1	500 - 999 grams	2	Suppressed
	"Chautauqua County, NY"	36013	Native Hawaiian or Other Pacific Islander	NHOPI	Single	1	1000 - 1499 grams	3	Suppressed
	"Chautauqua County, NY"	36013	White	2106-3	Single	1	500 - 999 grams	2	Suppressed
	"Chautauqua County, NY"	36013	White	2106-3	Single	1	1000 - 1499 grams	3	Suppressed
	"Dutchess County, NY"	36027	American Indian or Alaska Native	1002-5	Single	1	500 - 999 grams	2	Suppressed
	"Dutchess County, NY"	36027	American Indian or Alaska Native	1002-5	Single	1	1000 - 1499 grams	3	Suppressed
	"Dutchess County, NY"	36027	Asian	A	Single	1	500 - 999 grams	2	Suppressed
	"Dutchess County, NY"	36027	Asian	A	Single	1	1000 - 1499 grams	3	Suppressed
	"Dutchess County, NY"	36027	Black or African American	2054-5	Single	1	500 - 999 grams	2	Suppressed
	"Dutchess County, NY"	36027	Black or African American	2054-5	Single	1	1000 - 1499 grams	3	Suppressed
	"Dutchess County, NY"	36027	Native Hawaiian or Other Pacific Islander	NHOPI	Single	1	500 - 999 grams	2	Suppressed
	"Dutchess County, NY"	36027	Native Hawaiian or Other Pacific Islander	NHOPI	Single	1	1000 - 1499 grams	3	Suppressed
	"Dutchess County, NY"	36027	White	2106-3	Single	1	500 - 999 grams	2	Suppressed
	"Dutchess County, NY"	36027	White	2106-3	Single	1	1000 - 1499 grams	3	Suppressed
	"Erie County, NY"	36029	American Indian or Alaska Native	1002-5	Single	1	500 - 999 grams	2	Suppressed
	"Erie County, NY"	36029	American Indian or Alaska Native	1002-5	Single	1	1000 - 1499 grams	3	Suppressed
	"Erie County, NY"	36029	Asian	A	Single	1	500 - 999 grams	2	Suppressed
	"Erie County, NY"	36029	Asian	A	Single	1	1000 - 1499 grams	3	Suppressed
	"Erie County, NY"	36029	Black or African American	2054-5	Single	1	500 - 999 grams	2	18
	"Erie County, NY"	36029	Black or African American	2054-5	Single	1	1000 - 1499 grams	3	20
