"Notes"	"County of Residence"	"County of Residence Code"	"Mother's Single Race 6"	"Mother's Single Race 6 Code"	"Mother's Hispanic Origin"	"Mother's Hispanic Origin Code"	Births
	"Albany County, NY"	"36001"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	Suppressed
	"Albany County, NY"	"36001"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	46
	"Albany County, NY"	"36001"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	16
	"Albany County, NY"	"36001"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	92
	"Albany County, NY"	"36001"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	15
	"Albany County, NY"	"36001"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	150
	"Bronx County, NY"	"36005"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	50
	"Bronx County, NY"	"36005"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	305
	"Bronx County, NY"	"36005"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	541
	"Bronx County, NY"	"36005"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	1143
	"Bronx County, NY"	"36005"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	1050
	"Bronx County, NY"	"36005"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	213
	"Broome County, NY"	"36007"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	Suppressed
	"Broome County, NY"	"36007"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	12
	"Broome County, NY"	"36007"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	Suppressed
	"Broome County, NY"	"36007"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	31
	"Broome County, NY"	"36007"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	Suppressed
	"Broome County, NY"	"36007"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	164
	"Chautauqua County, NY"	"36013"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	Suppressed
	"Chautauqua County, NY"	"36013"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	Suppressed
	"Chautauqua County, NY"	"36013"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	Suppressed
	"Chautauqua County, NY"	"36013"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	Suppressed
	"Chautauqua County, NY"	"36013"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	29
	"Chautauqua County, NY"	"36013"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	126
	"Dutchess County, NY"	"36027"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	Suppressed
	"Dutchess County, NY"	"36027"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	11
	"Dutchess County, NY"	"36027"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	14
	"Dutchess County, NY"	"36027"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	66
	"Dutchess County, NY"	"36027"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	42
	"Dutchess County, NY"	"36027"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	123
	"Erie County, NY"	"36029"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	Suppressed
	"Erie County, NY"	"36029"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	118
	"Erie County, NY"	"36029"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	30
	"Erie County, NY"	"36029"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	439
	"Erie County, NY"	"36029"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	85
	"Erie County, NY"	"36029"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	595
	"Jefferson County, NY"	"36045"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	Suppressed
	"Jefferson County, NY"	"36045"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	Suppressed
	"Jefferson County, NY"	"36045"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	Suppressed
	"Jefferson County, NY"	"36045"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	29
	"Jefferson County, NY"	"36045"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	12
	"Jefferson County, NY"	"36045"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	138
	"Kings County, NY"	"36047"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	14
	"Kings County, NY"	"36047"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	784
	"Kings County, NY"	"36047"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	197
	"Kings County, NY"	"36047"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	1551
	"Kings County, NY"	"36047"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	507
	"Kings County, NY"	"36047"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	1540
	"Monroe County, NY"	"36055"	"Asian"	"A"	"Hispanic or Latino"	"2135-2"	Suppressed
	"Monroe County, NY"	"36055"	"Asian"	"A"	"Not Hispanic or Latino"	"2186-5"	56
	"Monroe County, NY"	"36055"	"Black or African American"	"2054-5"	"Hispanic or Latino"	"2135-2"	52
	"Monroe County, NY"	"36055"	"Black or African American"	"2054-5"	"Not Hispanic or Latino"	"2186-5"	431
	"Monroe County, NY"	"36055"	"White"	"2106-3"	"Hispanic or Latino"	"2135-2"	121
	"Monroe County, NY"	"36055"	"White"	"2106-3"	"Not Hispanic or Latino"	"2186-5"	382
