Notes	County of Residence	County of Residence Code	Mother's Single Race 6	Mother's Single Race 6 Code	Mother's Hispanic Origin	Mother's Hispanic Origin Code	Year	Year Code	Births
	"Albany County, NY"	36001	American Indian or Alaska Native	1002-5	Hispanic or Latino	2135-2	2016	2016	Suppressed
	"Albany County, NY"	36001	American Indian or Alaska Native	1002-5	Hispanic or Latino	2135-2	2017	2017	Suppressed
	"Albany County, NY"	36001	American Indian or Alaska Native	1002-5	Hispanic or Latino	2135-2	2018	2018	Suppressed
	"Albany County, NY"	36001	American Indian or Alaska Native	1002-5	Hispanic or Latino	2135-2	2019	2019	Suppressed
	"Albany County, NY"	36001	American Indian or Alaska Native	1002-5	Hispanic or Latino	2135-2	2020	2020	Suppressed
	"Albany County, NY"	36001	American Indian or Alaska Native	1002-5	Hispanic or Latino	2135-2	2021	2021	Suppressed
	"Albany County, NY"	36001	American Indian or Alaska Native	1002-5	Not Hispanic or Latino	2186-5	2016	2016	Suppressed
	"Albany County, NY"	36001	American Indian or Alaska Native	1002-5	Not Hispanic or Latino	2186-5	2017	2017	Suppressed
	"Albany County, NY"	36001	American Indian or Alaska Native	1002-5	Not Hispanic or Latino	2186-5	2018	2018	Suppressed
	"Albany County, NY"	36001	American Indian or Alaska Native	1002-5	Not Hispanic or Latino	2186-5	2019	2019	Suppressed
	"Albany County, NY"	36001	American Indian or Alaska Native	1002-5	Not Hispanic or Latino	2186-5	2020	2020	Suppressed
	"Albany County, NY"	36001	American Indian or Alaska Native	1002-5	Not Hispanic or Latino	2186-5	2021	2021	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	2016	2016	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	2017	2017	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	2018	2018	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	2019	2019	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	2020	2020	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	2021	2021	Suppressed
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	2016	2016	Suppressed
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	2017	2017	Suppressed
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	2018	2018	Suppressed
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	2019	2019	Suppressed
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	2020	2020	Suppressed
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	2021	2021	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	Hispanic or Latino	2135-2	2016	2016	Suppressed
