"Notes"	"County of Residence"	"County of Residence Code"	"Mother's Weight Gain Recode"	"Mother's Weight Gain Recode Code"	Births
	"Albany County, NY"	"36001"	"Less than 11 pounds"	"1"	44
	"Albany County, NY"	"36001"	"11 to 20 pounds"	"2"	88
	"Albany County, NY"	"36001"	"21 to 30 pounds"	"3"	92
	"Albany County, NY"	"36001"	"31 to 40 pounds"	"4"	55
	"Albany County, NY"	"36001"	"41 to 98 pounds"	"5"	31
	"Albany County, NY"	"36001"	"Unknown or Not Stated"	"9"	11
	"Bronx County, NY"	"36005"	"Less than 11 pounds"	"1"	388
	"Bronx County, NY"	"36005"	"11 to 20 pounds"	"2"	908
	"Bronx County, NY"	"36005"	"21 to 30 pounds"	"3"	1130
	"Bronx County, NY"	"36005"	"31 to 40 pounds"	"4"	512
	"Bronx County, NY"	"36005"	"41 to 98 pounds"	"5"	339
	"Bronx County, NY"	"36005"	"Unknown or Not Stated"	"9"	25
	"Broome County, NY"	"36007"	"Less than 11 pounds"	"1"	41
	"Broome County, NY"	"36007"	"11 to 20 pounds"	"2"	57
	"Broome County, NY"	"36007"	"21 to 30 pounds"	"3"	62
	"Broome County, NY"	"36007"	"31 to 40 pounds"	"4"	41
	"Broome County, NY"	"36007"	"41 to 98 pounds"	"5"	20
	"Broome County, NY"	"36007"	"Unknown or Not Stated"	"9"	Suppressed
	"Chautauqua County, NY"	"36013"	"Less than 11 pounds"	"1"	18
	"Chautauqua County, NY"	"36013"	"11 to 20 pounds"	"2"	46
	"Chautauqua County, NY"	"36013"	"21 to 30 pounds"	"3"	47
	"Chautauqua County, NY"	"36013"	"31 to 40 pounds"	"4"	23
	"Chautauqua County, NY"	"36013"	"41 to 98 pounds"	"5"	10
	"Chautauqua County, NY"	"36013"	"Unknown or Not Stated"	"9"	19
	"Dutchess County, NY"	"36027"	"Less than 11 pounds"	"1"	47
	"Dutchess County, NY"	"36027"	"11 to 20 pounds"	"2"	66
	"Dutchess County, NY"	"36027"	"21 to 30 pounds"	"3"	81
	"Dutchess County, NY"	"36027"	"31 to 40 pounds"	"4"	39
	"Dutchess County, NY"	"36027"	"41 to 98 pounds"	"5"	18
	"Dutchess County, NY"	"36027"	"Unknown or Not Stated"	"9"	Suppressed
	"Erie County, NY"	"36029"	"Less than 11 pounds"	"1"	191
	"Erie County, NY"	"36029"	"11 to 20 pounds"	"2"	311
	"Erie County, NY"	"36029"	"21 to 30 pounds"	"3"	345
	"Erie County, NY"	"36029"	"31 to 40 pounds"	"4"	172
	"Erie County, NY"	"36029"	"41 to 98 pounds"	"5"	99
	"Erie County, NY"	"36029"	"Unknown or Not Stated"	"9"	149
	"Jefferson County, NY"	"36045"	"Less than 11 pounds"	"1"	29
	"Jefferson County, NY"	"36045"	"11 to 20 pounds"	"2"	35
	"Jefferson County, NY"	"36045"	"21 to 30 pounds"	"3"	46
	"Jefferson County, NY"	"36045"	"31 to 40 pounds"	"4"	46
	"Jefferson County, NY"	"36045"	"41 to 98 pounds"	"5"	28
	"Jefferson County, NY"	"36045"	"Unknown or Not Stated"	"9"	Suppressed
	"Kings County, NY"	"36047"	"Less than 11 pounds"	"1"	393
	"Kings County, NY"	"36047"	"11 to 20 pounds"	"2"	1158
	"Kings County, NY"	"36047"	"21 to 30 pounds"	"3"	1645
	"Kings County, NY"	"36047"	"31 to 40 pounds"	"4"	907
	"Kings County, NY"	"36047"	"41 to 98 pounds"	"5"	443
	"Kings County, NY"	"36047"	"Unknown or Not Stated"	"9"	47
	"Monroe County, NY"	"36055"	"Less than 11 pounds"	"1"	151
	"Monroe County, NY"	"36055"	"11 to 20 pounds"	"2"	233
	"Monroe County, NY"	"36055"	"21 to 30 pounds"	"3"	261
	"Monroe County, NY"	"36055"	"31 to 40 pounds"	"4"	169
	"Monroe County, NY"	"36055"	"41 to 98 pounds"	"5"	121
	"Monroe County, NY"	"36055"	"Unknown or Not Stated"	"9"	107
	"Nassau County, NY"	"36059"	"Less than 11 pounds"	"1"	172
	"Nassau County, NY"	"36059"	"11 to 20 pounds"	"2"	414
	"Nassau County, NY"	"36059"	"21 to 30 pounds"	"3"	552
	"Nassau County, NY"	"36059"	"31 to 40 pounds"	"4"	305
	"Nassau County, NY"	"36059"	"41 to 98 pounds"	"5"	183
	"Nassau County, NY"	"36059"	"Unknown or Not Stated"	"9"	41
	"New York County, NY"	"36061"	"Less than 11 pounds"	"1"	178
	"New York County, NY"	"36061"	"11 to 20 pounds"	"2"	466
	"New York County, NY"	"36061"	"21 to 30 pounds"	"3"	816
	"New York County, NY"	"36061"	"31 to 40 pounds"	"4"	449
	"New York County, NY"	"36061"	"41 to 98 pounds"	"5"	184
	"New York County, NY"	"36061"	"Unknown or Not Stated"	"9"	31
	"Niagara County, NY"	"36063"	"Less than 11 pounds"	"1"	35
	"Niagara County, NY"	"36063"	"11 to 20 pounds"	"2"	63
	"Niagara County, NY"	"36063"	"21 to 30 pounds"	"3"	71
	"Niagara County, NY"	"36063"	"31 to 40 pounds"	"4"	48
	"Niagara County, NY"	"36063"	"41 to 98 pounds"	"5"	25
	"Niagara County, NY"	"36063"	"Unknown or Not Stated"	"9"	26
	"Oneida County, NY"	"36065"	"Less than 11 pounds"	"1"	54
	"Oneida County, NY"	"36065"	"11 to 20 pounds"	"2"	68
	"Oneida County, NY"	"36065"	"21 to 30 pounds"	"3"	72
	"Oneida County, NY"	"36065"	"31 to 40 pounds"	"4"	50
	"Oneida County, NY"	"36065"	"41 to 98 pounds"	"5"	35
	"Oneida County, NY"	"36065"	"Unknown or Not Stated"	"9"	11
	"Onondaga County, NY"	"36067"	"Less than 11 pounds"	"1"	113
	"Onondaga County, NY"	"36067"	"11 to 20 pounds"	"2"	164
	"Onondaga County, NY"	"36067"	"21 to 30 pounds"	"3"	159
	"Onondaga County, NY"	"36067"	"31 to 40 pounds"	"4"	78
	"Onondaga County, NY"	"36067"	"41 to 98 pounds"	"5"	57
	"Onondaga County, NY"	"36067"	"Unknown or Not Stated"	"9"	14
	"Ontario County, NY"	"36069"	"Less than 11 pounds"	"1"	12
	"Ontario County, NY"	"36069"	"11 to 20 pounds"	"2"	17
	"Ontario County, NY"	"36069"	"21 to 30 pounds"	"3"	21
	"Ontario County, NY"	"36069"	"31 to 40 pounds"	"4"	Suppressed
	"Ontario County, NY"	"36069"	"41 to 98 pounds"	"5"	Suppressed
	"Ontario County, NY"	"36069"	"Unknown or Not Stated"	"9"	Suppressed
	"Orange County, NY"	"36071"	"Less than 11 pounds"	"1"	76
	"Orange County, NY"	"36071"	"11 to 20 pounds"	"2"	161
	"Orange County, NY"	"36071"	"21 to 30 pounds"	"3"	164
	"Orange County, NY"	"36071"	"31 to 40 pounds"	"4"	61
	"Orange County, NY"	"36071"	"41 to 98 pounds"	"5"	26
	"Orange County, NY"	"36071"	"Unknown or Not Stated"	"9"	34
	"Oswego County, NY"	"36075"	"Less than 11 pounds"	"1"	42
	"Oswego County, NY"	"36075"	"11 to 20 pounds"	"2"	36
	"Oswego County, NY"	"36075"	"21 to 30 pounds"	"3"	34
	"Oswego County, NY"	"36075"	"31 to 40 pounds"	"4"	23
	"Oswego County, NY"	"36075"	"41 to 98 pounds"	"5"	10
	"Oswego County, NY"	"36075"	"Unknown or Not Stated"	"9"	Suppressed
	"Queens County, NY"	"36081"	"Less than 11 pounds"	"1"	533
	"Queens County, NY"	"36081"	"11 to 20 pounds"	"2"	1109
	"Queens County, NY"	"36081"	"21 to 30 pounds"	"3"	1381
	"Queens County, NY"	"36081"	"31 to 40 pounds"	"4"	769
	"Queens County, NY"	"36081"	"41 to 98 pounds"	"5"	365
	"Queens County, NY"	"36081"	"Unknown or Not Stated"	"9"	37
	"Rensselaer County, NY"	"36083"	"Less than 11 pounds"	"1"	30
	"Rensselaer County, NY"	"36083"	"11 to 20 pounds"	"2"	53
	"Rensselaer County, NY"	"36083"	"21 to 30 pounds"	"3"	57
	"Rensselaer County, NY"	"36083"	"31 to 40 pounds"	"4"	35
	"Rensselaer County, NY"	"36083"	"41 to 98 pounds"	"5"	16
	"Rensselaer County, NY"	"36083"	"Unknown or Not Stated"	"9"	Suppressed
	"Richmond County, NY"	"36085"	"Less than 11 pounds"	"1"	65
	"Richmond County, NY"	"36085"	"11 to 20 pounds"	"2"	158
	"Richmond County, NY"	"36085"	"21 to 30 pounds"	"3"	185
	"Richmond County, NY"	"36085"	"31 to 40 pounds"	"4"	148
	"Richmond County, NY"	"36085"	"41 to 98 pounds"	"5"	81
	"Richmond County, NY"	"36085"	"Unknown or Not Stated"	"9"	Suppressed
	"Rockland County, NY"	"36087"	"Less than 11 pounds"	"1"	59
	"Rockland County, NY"	"36087"	"11 to 20 pounds"	"2"	182
	"Rockland County, NY"	"36087"	"21 to 30 pounds"	"3"	184
	"Rockland County, NY"	"36087"	"31 to 40 pounds"	"4"	87
	"Rockland County, NY"	"36087"	"41 to 98 pounds"	"5"	30
	"Rockland County, NY"	"36087"	"Unknown or Not Stated"	"9"	17
	"St. Lawrence County, NY"	"36089"	"Less than 11 pounds"	"1"	25
