BoroName,BoroCode,race,WIC,500-2500g births,total births,percentage
Bronx,2,Asian,Y,313,3242,9.654534238
Bronx,2,Black or African American,Y,1723,18668,9.229697879
Bronx,2,White,Y,146,2136,6.835205993
Bronx,2,Hispanic,Y,2734,40195,6.801841025
Brooklyn,3,Asian,Y,961,16199,5.932464967
Brooklyn,3,Black or African American,Y,2371,24859,9.537793153
Brooklyn,3,White,Y,1102,31129,3.540107295
Brooklyn,3,Hispanic,Y,1246,18333,6.796487209
Manhattan,1,Asian,Y,120,2357,5.09121765
Manhattan,1,Black or African American,Y,560,5394,10.38190582
Manhattan,1,White,Y,115,2553,4.504504505
Manhattan,1,Hispanic,Y,820,11755,6.975754998
Queens,4,Asian,Y,1626,20729,7.844083169
Queens,4,Black or African American,Y,1033,10551,9.790541181
Queens,4,White,Y,257,5413,4.7478293
Queens,4,Hispanic,Y,1362,23368,5.828483396
Staten Island,5,Asian,Y,72,1281,5.620608899
Staten Island,5,Black or African American,Y,175,1784,9.80941704
Staten Island,5,White,Y,98,1963,4.992358635
Staten Island,5,Hispanic,Y,216,2993,7.216839292
Bronx,2,Asian,N,255,2585,9.864603482
Bronx,2,Black or African American,N,1336,11710,11.40905209
Bronx,2,White,N,331,6160,5.373376623
Bronx,2,Hispanic,N,1780,21006,8.473769399
Brooklyn,3,Asian,N,871,12477,6.980844754
Brooklyn,3,Black or African American,N,2112,19312,10.93620547
Brooklyn,3,White,N,2487,63854,3.894822564
Brooklyn,3,Hispanic,N,926,13860,6.681096681
Manhattan,1,Asian,N,683,10893,6.270081704
Manhattan,1,Black or African American,N,460,4389,10.48074732
Manhattan,1,White,N,1744,38894,4.483982105
Manhattan,1,Hispanic,N,711,9969,7.13210954
Queens,4,Asian,N,2153,27237,7.904688475
Queens,4,Black or African American,N,1391,12077,11.51776103
Queens,4,White,N,1202,28466,4.222581325
Queens,4,Hispanic,N,1403,21642,6.482764994
Staten Island,5,Asian,N,134,1973,6.791687785
Staten Island,5,Black or African American,N,165,1412,11.68555241
Staten Island,5,White,N,556,12743,4.363179785
Staten Island,5,Hispanic,N,224,3394,6.599882145
