Notes	County of Residence	County of Residence Code	Mother's Single Race 6	Mother's Single Race 6 Code	Mother's Hispanic Origin	Mother's Hispanic Origin Code	Year	Year Code	Births
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	2016	2016	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	2017	2017	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	2018	2018	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	2019	2019	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	2020	2020	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	2021	2021	Suppressed
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	2016	2016	Suppressed
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	2017	2017	Suppressed
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	2018	2018	Suppressed
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	2019	2019	Suppressed
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	2020	2020	Suppressed
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	2021	2021	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	Hispanic or Latino	2135-2	2016	2016	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	Hispanic or Latino	2135-2	2017	2017	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	Hispanic or Latino	2135-2	2018	2018	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	Hispanic or Latino	2135-2	2019	2019	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	Hispanic or Latino	2135-2	2020	2020	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	Hispanic or Latino	2135-2	2021	2021	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2016	2016	15
	"Albany County, NY"	36001	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2017	2017	23
	"Albany County, NY"	36001	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2018	2018	19
	"Albany County, NY"	36001	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2019	2019	23
	"Albany County, NY"	36001	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2020	2020	21
	"Albany County, NY"	36001	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2021	2021	19
	"Albany County, NY"	36001	White	2106-3	Hispanic or Latino	2135-2	2016	2016	Suppressed
	"Albany County, NY"	36001	White	2106-3	Hispanic or Latino	2135-2	2017	2017	Suppressed
	"Albany County, NY"	36001	White	2106-3	Hispanic or Latino	2135-2	2018	2018	Suppressed
	"Albany County, NY"	36001	White	2106-3	Hispanic or Latino	2135-2	2019	2019	Suppressed
	"Albany County, NY"	36001	White	2106-3	Hispanic or Latino	2135-2	2020	2020	Suppressed
	"Albany County, NY"	36001	White	2106-3	Hispanic or Latino	2135-2	2021	2021	Suppressed
	"Albany County, NY"	36001	White	2106-3	Not Hispanic or Latino	2186-5	2016	2016	26
	"Albany County, NY"	36001	White	2106-3	Not Hispanic or Latino	2186-5	2017	2017	29
	"Albany County, NY"	36001	White	2106-3	Not Hispanic or Latino	2186-5	2018	2018	25
	"Albany County, NY"	36001	White	2106-3	Not Hispanic or Latino	2186-5	2019	2019	26
	"Albany County, NY"	36001	White	2106-3	Not Hispanic or Latino	2186-5	2020	2020	25
	"Albany County, NY"	36001	White	2106-3	Not Hispanic or Latino	2186-5	2021	2021	31
	"Bronx County, NY"	36005	Asian	A	Hispanic or Latino	2135-2	2016	2016	23
	"Bronx County, NY"	36005	Asian	A	Hispanic or Latino	2135-2	2017	2017	13
	"Bronx County, NY"	36005	Asian	A	Hispanic or Latino	2135-2	2018	2018	Suppressed
	"Bronx County, NY"	36005	Asian	A	Hispanic or Latino	2135-2	2019	2019	Suppressed
	"Bronx County, NY"	36005	Asian	A	Hispanic or Latino	2135-2	2020	2020	Suppressed
	"Bronx County, NY"	36005	Asian	A	Hispanic or Latino	2135-2	2021	2021	Suppressed
	"Bronx County, NY"	36005	Asian	A	Not Hispanic or Latino	2186-5	2016	2016	26
	"Bronx County, NY"	36005	Asian	A	Not Hispanic or Latino	2186-5	2017	2017	21
	"Bronx County, NY"	36005	Asian	A	Not Hispanic or Latino	2186-5	2018	2018	30
	"Bronx County, NY"	36005	Asian	A	Not Hispanic or Latino	2186-5	2019	2019	21
	"Bronx County, NY"	36005	Asian	A	Not Hispanic or Latino	2186-5	2020	2020	25
	"Bronx County, NY"	36005	Asian	A	Not Hispanic or Latino	2186-5	2021	2021	28
	"Bronx County, NY"	36005	Black or African American	2054-5	Hispanic or Latino	2135-2	2016	2016	89
	"Bronx County, NY"	36005	Black or African American	2054-5	Hispanic or Latino	2135-2	2017	2017	97
	"Bronx County, NY"	36005	Black or African American	2054-5	Hispanic or Latino	2135-2	2018	2018	76
	"Bronx County, NY"	36005	Black or African American	2054-5	Hispanic or Latino	2135-2	2019	2019	87
	"Bronx County, NY"	36005	Black or African American	2054-5	Hispanic or Latino	2135-2	2020	2020	118
	"Bronx County, NY"	36005	Black or African American	2054-5	Hispanic or Latino	2135-2	2021	2021	105
	"Bronx County, NY"	36005	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2016	2016	213
	"Bronx County, NY"	36005	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2017	2017	238
	"Bronx County, NY"	36005	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2018	2018	219
	"Bronx County, NY"	36005	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2019	2019	227
	"Bronx County, NY"	36005	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2020	2020	193
	"Bronx County, NY"	36005	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2021	2021	209
	"Bronx County, NY"	36005	White	2106-3	Hispanic or Latino	2135-2	2016	2016	177
	"Bronx County, NY"	36005	White	2106-3	Hispanic or Latino	2135-2	2017	2017	186
	"Bronx County, NY"	36005	White	2106-3	Hispanic or Latino	2135-2	2018	2018	184
	"Bronx County, NY"	36005	White	2106-3	Hispanic or Latino	2135-2	2019	2019	207
	"Bronx County, NY"	36005	White	2106-3	Hispanic or Latino	2135-2	2020	2020	174
	"Bronx County, NY"	36005	White	2106-3	Hispanic or Latino	2135-2	2021	2021	143
	"Bronx County, NY"	36005	White	2106-3	Not Hispanic or Latino	2186-5	2016	2016	30
	"Bronx County, NY"	36005	White	2106-3	Not Hispanic or Latino	2186-5	2017	2017	27
	"Bronx County, NY"	36005	White	2106-3	Not Hispanic or Latino	2186-5	2018	2018	21
	"Bronx County, NY"	36005	White	2106-3	Not Hispanic or Latino	2186-5	2019	2019	18
	"Bronx County, NY"	36005	White	2106-3	Not Hispanic or Latino	2186-5	2020	2020	19
	"Bronx County, NY"	36005	White	2106-3	Not Hispanic or Latino	2186-5	2021	2021	22
	"Broome County, NY"	36007	Asian	A	Hispanic or Latino	2135-2	2016	2016	Suppressed
	"Broome County, NY"	36007	Asian	A	Hispanic or Latino	2135-2	2017	2017	Suppressed
	"Broome County, NY"	36007	Asian	A	Hispanic or Latino	2135-2	2018	2018	Suppressed
	"Broome County, NY"	36007	Asian	A	Hispanic or Latino	2135-2	2019	2019	Suppressed
	"Broome County, NY"	36007	Asian	A	Hispanic or Latino	2135-2	2020	2020	Suppressed
	"Broome County, NY"	36007	Asian	A	Hispanic or Latino	2135-2	2021	2021	Suppressed
	"Broome County, NY"	36007	Asian	A	Not Hispanic or Latino	2186-5	2016	2016	Suppressed
	"Broome County, NY"	36007	Asian	A	Not Hispanic or Latino	2186-5	2017	2017	Suppressed
	"Broome County, NY"	36007	Asian	A	Not Hispanic or Latino	2186-5	2018	2018	Suppressed
	"Broome County, NY"	36007	Asian	A	Not Hispanic or Latino	2186-5	2019	2019	Suppressed
	"Broome County, NY"	36007	Asian	A	Not Hispanic or Latino	2186-5	2020	2020	Suppressed
	"Broome County, NY"	36007	Asian	A	Not Hispanic or Latino	2186-5	2021	2021	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	Hispanic or Latino	2135-2	2016	2016	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	Hispanic or Latino	2135-2	2017	2017	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	Hispanic or Latino	2135-2	2018	2018	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	Hispanic or Latino	2135-2	2019	2019	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	Hispanic or Latino	2135-2	2020	2020	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	Hispanic or Latino	2135-2	2021	2021	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2016	2016	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2017	2017	13
	"Broome County, NY"	36007	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2018	2018	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2019	2019	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2020	2020	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2021	2021	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	2016	2016	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	2017	2017	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	2018	2018	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	2019	2019	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	2020	2020	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	2021	2021	Suppressed
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	2016	2016	27
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	2017	2017	28
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	2018	2018	19
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	2019	2019	20
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	2020	2020	24
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	2021	2021	31
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	2016	2016	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	2017	2017	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	2018	2018	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	2019	2019	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	2020	2020	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	2021	2021	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Not Hispanic or Latino	2186-5	2016	2016	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Not Hispanic or Latino	2186-5	2017	2017	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Not Hispanic or Latino	2186-5	2018	2018	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Not Hispanic or Latino	2186-5	2019	2019	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Not Hispanic or Latino	2186-5	2020	2020	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Not Hispanic or Latino	2186-5	2021	2021	Suppressed
	"Chautauqua County, NY"	36013	Black or African American	2054-5	Hispanic or Latino	2135-2	2016	2016	Suppressed
	"Chautauqua County, NY"	36013	Black or African American	2054-5	Hispanic or Latino	2135-2	2017	2017	Suppressed
	"Chautauqua County, NY"	36013	Black or African American	2054-5	Hispanic or Latino	2135-2	2018	2018	Suppressed
	"Chautauqua County, NY"	36013	Black or African American	2054-5	Hispanic or Latino	2135-2	2019	2019	Suppressed
	"Chautauqua County, NY"	36013	Black or African American	2054-5	Hispanic or Latino	2135-2	2020	2020	Suppressed
	"Chautauqua County, NY"	36013	Black or African American	2054-5	Hispanic or Latino	2135-2	2021	2021	Suppressed
	"Chautauqua County, NY"	36013	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2016	2016	Suppressed
	"Chautauqua County, NY"	36013	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2017	2017	Suppressed
	"Chautauqua County, NY"	36013	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2018	2018	Suppressed
	"Chautauqua County, NY"	36013	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2019	2019	Suppressed
	"Chautauqua County, NY"	36013	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2020	2020	Suppressed
	"Chautauqua County, NY"	36013	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2021	2021	Suppressed
