BoroCode,BoroName,Year,race,hispanic origin,total births,500-2500g births,percentage
2,"Bronx County, NY",2016,Asian,Hispanic or Latino,872,71,0.026376147
2,"Bronx County, NY",2016,Asian,Not Hispanic or Latino,991,83,0.025227043
2,"Bronx County, NY",2016,Black or African American,Hispanic or Latino,3407,230,0.024948635
2,"Bronx County, NY",2016,Black or African American,Not Hispanic or Latino,5735,516,0.035571055
2,"Bronx County, NY",2016,White,Hispanic or Latino,7182,499,0.024227235
2,"Bronx County, NY",2016,White,Not Hispanic or Latino,1437,82,0.020180932
2,"Bronx County, NY",2017,Asian,Hispanic or Latino,776,49,0.016752577
2,"Bronx County, NY",2017,Asian,Not Hispanic or Latino,930,100,0.021505376
2,"Bronx County, NY",2017,Black or African American,Hispanic or Latino,2766,250,0.034345625
2,"Bronx County, NY",2017,Black or African American,Not Hispanic or Latino,5602,547,0.039450196
2,"Bronx County, NY",2017,White,Hispanic or Latino,7388,507,0.024228479
2,"Bronx County, NY",2017,White,Not Hispanic or Latino,1552,94,0.017396907
2,"Bronx County, NY",2018,Asian,Hispanic or Latino,79,0,0
2,"Bronx County, NY",2018,Asian,Not Hispanic or Latino,1029,91,0.028182702
2,"Bronx County, NY",2018,Black or African American,Hispanic or Latino,2497,197,0.029235082
2,"Bronx County, NY",2018,Black or African American,Not Hispanic or Latino,5511,531,0.037561241
2,"Bronx County, NY",2018,White,Hispanic or Latino,8068,550,0.022186415
2,"Bronx County, NY",2018,White,Not Hispanic or Latino,1484,100,0.014150943
2,"Bronx County, NY",2019,Asian,Hispanic or Latino,83,0,0
2,"Bronx County, NY",2019,Asian,Not Hispanic or Latino,1038,94,0.019267823
2,"Bronx County, NY",2019,Black or African American,Hispanic or Latino,2829,230,0.029338989
2,"Bronx County, NY",2019,Black or African American,Not Hispanic or Latino,5067,532,0.041641997
2,"Bronx County, NY",2019,White,Hispanic or Latino,7233,545,0.028065809
2,"Bronx County, NY",2019,White,Not Hispanic or Latino,1431,67,0.011879804
2,"Bronx County, NY",2020,Asian,Hispanic or Latino,66,0,0
2,"Bronx County, NY",2020,Asian,Not Hispanic or Latino,941,105,0.025504782
2,"Bronx County, NY",2020,Black or African American,Hispanic or Latino,3313,406,0.034108059
2,"Bronx County, NY",2020,Black or African American,Not Hispanic or Latino,4587,484,0.039895356
2,"Bronx County, NY",2020,White,Hispanic or Latino,6136,471,0.027542373
2,"Bronx County, NY",2020,White,Not Hispanic or Latino,1316,65,0.012158055
2,"Bronx County, NY",2021,Asian,Hispanic or Latino,75,0,0
2,"Bronx County, NY",2021,Asian,Not Hispanic or Latino,935,101,0.029946524
2,"Bronx County, NY",2021,Black or African American,Hispanic or Latino,3779,293,0.025932786
2,"Bronx County, NY",2021,Black or African American,Not Hispanic or Latino,4310,496,0.04361949
2,"Bronx County, NY",2021,White,Hispanic or Latino,5252,373,0.025704494
2,"Bronx County, NY",2021,White,Not Hispanic or Latino,1225,79,0.017959184
3,"Kings County, NY",2016,Asian,Hispanic or Latino,398,23,0.025125628
3,"Kings County, NY",2016,Asian,Not Hispanic or Latino,6081,379,0.015786877
3,"Kings County, NY",2016,Black or African American,Hispanic or Latino,1303,99,0.023791251
3,"Kings County, NY",2016,Black or African American,Not Hispanic or Latino,8515,814,0.037933059
3,"Kings County, NY",2016,White,Hispanic or Latino,4415,278,0.021291053
3,"Kings County, NY",2016,White,Not Hispanic or Latino,16327,590,0.010657194
3,"Kings County, NY",2017,Asian,Hispanic or Latino,382,22,0
3,"Kings County, NY",2017,Asian,Not Hispanic or Latino,5621,344,0.016011386
3,"Kings County, NY",2017,Black or African American,Hispanic or Latino,1169,83,0.028229256
3,"Kings County, NY",2017,Black or African American,Not Hispanic or Latino,8249,818,0.042671839
3,"Kings County, NY",2017,White,Hispanic or Latino,4238,278,0.021944313
