"Notes"	"County of Residence"	"County of Residence Code"	"Mother's Single Race 6"	"Mother's Single Race 6 Code"	Births
	"Albany County, NY"	"36001"	"American Indian or Alaska Native"	"1002-5"	21
	"Albany County, NY"	"36001"	"Asian"	"A"	1908
	"Albany County, NY"	"36001"	"Black or African American"	"2054-5"	3652
	"Albany County, NY"	"36001"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	26
	"Albany County, NY"	"36001"	"White"	"2106-3"	11258
	"Albany County, NY"	"36001"	"More than one race"	"M"	714
"Total"	"Albany County, NY"	"36001"			17579
	"Bronx County, NY"	"36005"	"American Indian or Alaska Native"	"1002-5"	416
	"Bronx County, NY"	"36005"	"Asian"	"A"	8203
	"Bronx County, NY"	"36005"	"Black or African American"	"2054-5"	52938
	"Bronx County, NY"	"36005"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	88
	"Bronx County, NY"	"36005"	"White"	"2106-3"	52191
	"Bronx County, NY"	"36005"	"More than one race"	"M"	2417
"Total"	"Bronx County, NY"	"36005"			116253
	"Broome County, NY"	"36007"	"American Indian or Alaska Native"	"1002-5"	19
	"Broome County, NY"	"36007"	"Asian"	"A"	455
	"Broome County, NY"	"36007"	"Black or African American"	"2054-5"	1173
	"Broome County, NY"	"36007"	"White"	"2106-3"	9394
	"Broome County, NY"	"36007"	"More than one race"	"M"	395
"Total"	"Broome County, NY"	"36007"			11445
	"Chautauqua County, NY"	"36013"	"American Indian or Alaska Native"	"1002-5"	54
	"Chautauqua County, NY"	"36013"	"Asian"	"A"	67
	"Chautauqua County, NY"	"36013"	"Black or African American"	"2054-5"	192
	"Chautauqua County, NY"	"36013"	"White"	"2106-3"	7303
	"Chautauqua County, NY"	"36013"	"More than one race"	"M"	194
"Total"	"Chautauqua County, NY"	"36013"			7814
	"Dutchess County, NY"	"36027"	"American Indian or Alaska Native"	"1002-5"	29
	"Dutchess County, NY"	"36027"	"Asian"	"A"	579
	"Dutchess County, NY"	"36027"	"Black or African American"	"2054-5"	2271
	"Dutchess County, NY"	"36027"	"White"	"2106-3"	12222
	"Dutchess County, NY"	"36027"	"More than one race"	"M"	491
"Total"	"Dutchess County, NY"	"36027"			15599
	"Erie County, NY"	"36029"	"American Indian or Alaska Native"	"1002-5"	447
	"Erie County, NY"	"36029"	"Asian"	"A"	3837
	"Erie County, NY"	"36029"	"Black or African American"	"2054-5"	12087
	"Erie County, NY"	"36029"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	42
	"Erie County, NY"	"36029"	"White"	"2106-3"	40292
	"Erie County, NY"	"36029"	"More than one race"	"M"	1581
"Total"	"Erie County, NY"	"36029"			58286
	"Jefferson County, NY"	"36045"	"American Indian or Alaska Native"	"1002-5"	46
	"Jefferson County, NY"	"36045"	"Asian"	"A"	310
	"Jefferson County, NY"	"36045"	"Black or African American"	"2054-5"	1050
	"Jefferson County, NY"	"36045"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	78
	"Jefferson County, NY"	"36045"	"White"	"2106-3"	9322
	"Jefferson County, NY"	"36045"	"More than one race"	"M"	372
"Total"	"Jefferson County, NY"	"36045"			11178
	"Kings County, NY"	"36047"	"American Indian or Alaska Native"	"1002-5"	348
	"Kings County, NY"	"36047"	"Asian"	"A"	31378
	"Kings County, NY"	"36047"	"Black or African American"	"2054-5"	56339
	"Kings County, NY"	"36047"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	61
	"Kings County, NY"	"36047"	"White"	"2106-3"	131139
	"Kings County, NY"	"36047"	"More than one race"	"M"	4437
"Total"	"Kings County, NY"	"36047"			223702
	"Monroe County, NY"	"36055"	"American Indian or Alaska Native"	"1002-5"	116
	"Monroe County, NY"	"36055"	"Asian"	"A"	2428
	"Monroe County, NY"	"36055"	"Black or African American"	"2054-5"	11262
	"Monroe County, NY"	"36055"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	31
	"Monroe County, NY"	"36055"	"White"	"2106-3"	31543
	"Monroe County, NY"	"36055"	"More than one race"	"M"	1440
"Total"	"Monroe County, NY"	"36055"			46820
	"Nassau County, NY"	"36059"	"American Indian or Alaska Native"	"1002-5"	85
	"Nassau County, NY"	"36059"	"Asian"	"A"	11708
	"Nassau County, NY"	"36059"	"Black or African American"	"2054-5"	11242
	"Nassau County, NY"	"36059"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	43
	"Nassau County, NY"	"36059"	"White"	"2106-3"	59441
	"Nassau County, NY"	"36059"	"More than one race"	"M"	1377
"Total"	"Nassau County, NY"	"36059"			83896
	"New York County, NY"	"36061"	"American Indian or Alaska Native"	"1002-5"	165
	"New York County, NY"	"36061"	"Asian"	"A"	14950
	"New York County, NY"	"36061"	"Black or African American"	"2054-5"	16723
	"New York County, NY"	"36061"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	53
	"New York County, NY"	"36061"	"White"	"2106-3"	63437
	"New York County, NY"	"36061"	"More than one race"	"M"	2128
"Total"	"New York County, NY"	"36061"			97456
	"Niagara County, NY"	"36063"	"American Indian or Alaska Native"	"1002-5"	188
	"Niagara County, NY"	"36063"	"Asian"	"A"	200
	"Niagara County, NY"	"36063"	"Black or African American"	"2054-5"	1419
	"Niagara County, NY"	"36063"	"White"	"2106-3"	10053
	"Niagara County, NY"	"36063"	"More than one race"	"M"	518
"Total"	"Niagara County, NY"	"36063"			12383
	"Oneida County, NY"	"36065"	"American Indian or Alaska Native"	"1002-5"	39
	"Oneida County, NY"	"36065"	"Asian"	"A"	1005
	"Oneida County, NY"	"36065"	"Black or African American"	"2054-5"	1611
	"Oneida County, NY"	"36065"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	15
	"Oneida County, NY"	"36065"	"White"	"2106-3"	11624
	"Oneida County, NY"	"36065"	"More than one race"	"M"	558
"Total"	"Oneida County, NY"	"36065"			14852
	"Onondaga County, NY"	"36067"	"American Indian or Alaska Native"	"1002-5"	292
	"Onondaga County, NY"	"36067"	"Asian"	"A"	1722
	"Onondaga County, NY"	"36067"	"Black or African American"	"2054-5"	5997
	"Onondaga County, NY"	"36067"	"Native Hawaiian or Other Pacific Islander"	"NHOPI"	12
	"Onondaga County, NY"	"36067"	"White"	"2106-3"	20840
	"Onondaga County, NY"	"36067"	"More than one race"	"M"	1470
"Total"	"Onondaga County, NY"	"36067"			30333
	"Ontario County, NY"	"36069"	"American Indian or Alaska Native"	"1002-5"	10
	"Ontario County, NY"	"36069"	"Asian"	"A"	110
	"Ontario County, NY"	"36069"	"Black or African American"	"2054-5"	181
	"Ontario County, NY"	"36069"	"White"	"2106-3"	5400
	"Ontario County, NY"	"36069"	"More than one race"	"M"	132
"Total"	"Ontario County, NY"	"36069"			5833
	"Orange County, NY"	"36071"	"American Indian or Alaska Native"	"1002-5"	119
	"Orange County, NY"	"36071"	"Asian"	"A"	863
