Year,Table,County,Month Prenatal Care Began,Value
2015,12,Wyoming,PNC Unknown,7
2015,12,Essex,PNC Start Unk,12
2015,12,Oneida,PNC Start Unk,1
2015,12,Delaware,Total,354
2015,12,Livingston,PNC Unknown,21
2015,12,Cayuga,Total,716
2015,12,Kings,PNC Start Unk,434
2015,12,Lewis,7th-9th,12
2015,12,Orleans,PNC Unknown,14
2015,12,New York City,Total,116040
2015,12,Broome,PNC Unknown,6
2015,12,Saratoga,4th-6th,373
2015,12,New York,PNC Unknown,203
2015,12,Tioga,4th-6th,65
2015,12,St Lawrence,1st-3rd,774
2015,12,Richmond,7th-9th,119
2015,12,Putnam,1st-3rd,646
2015,12,Rest of State,PNC Start Unk,2364
2015,12,Cortland,7th-9th,11
2015,12,Onondaga,Total,5259
2015,12,Monroe,4th-6th,1201
2015,12,Westchester,Total,10639
2015,12,Jefferson,Total,2088
2015,12,Essex,PNC Unknown,2
2015,12,Rest of State,PNC Unknown,3306
2015,12,Bronx,Total,21130
2015,12,Monroe,None,36
2015,12,Ulster,Total,1573
2015,12,Erie,PNC Unknown,365
2015,12,Warren,Total,540
2015,12,Otsego,Total,530
2015,12,Clinton,7th-9th,16
2015,12,Monroe,PNC Unknown,537
2015,12,Queens,4th-6th,5155
2015,12,Orleans,4th-6th,65
2015,12,Fulton,None,1
2015,12,Putnam,4th-6th,101
2015,12,Jefferson,7th-9th,47
2015,12,Kings,7th-9th,2371
2015,12,Wayne,None,5
2015,12,Genesee,None,4
2015,12,Washington,1st-3rd,403
2015,12,Ontario,4th-6th,155
2015,12,Montgomery,PNC Unknown,6
2015,12,New York,PNC Start Unk,181
2015,12,Allegany,PNC Start Unk,2
2015,12,Rest of State,1st-3rd,89711
2015,12,Clinton,None,1
2015,12,Livingston,1st-3rd,402
2015,12,Oneida,PNC Unknown,2
2015,12,Yates,1st-3rd,160
2015,12,Yates,None,0
2015,12,Suffolk,4th-6th,2244
2015,12,Montgomery,7th-9th,72
