Year,Table,Mother's Age Range,Mother's Race/Ethnicity,Month Prenatal Care Began,Count
2008,6b,Total,Total Births,All,"249,649"
2008,6b,<15,Total Births,All,242
2008,6b,15-17,Total Births,All,"5,074"
2008,6b,18-19,Total Births,All,"12,171"
2008,6b,20-24,Total Births,All,"50,923"
2008,6b,25-29,Total Births,All,"66,181"
2008,6b,30-34,Total Births,All,"65,523"
2008,6b,35-39,Total Births,All,"38,991"
2008,6b,40-44,Total Births,All,"9,688"
2008,6b,45+,Total Births,All,819
2008,6b,N.S.,Total Births,All,37
2008,6b,Total,Total Births,1st - 3rd Month,"165,930"
2008,6b,<15,Total Births,1st - 3rd Month,59
2008,6b,15-17,Total Births,1st - 3rd Month,"2,194"
2008,6b,18-19,Total Births,1st - 3rd Month,"6,181"
2008,6b,20-24,Total Births,1st - 3rd Month,"29,606"
2008,6b,25-29,Total Births,1st - 3rd Month,"44,553"
2008,6b,30-34,Total Births,1st - 3rd Month,"47,764"
2008,6b,35-39,Total Births,1st - 3rd Month,"28,284"
2008,6b,40-44,Total Births,1st - 3rd Month,"6,765"
2008,6b,45+,Total Births,1st - 3rd Month,523
2008,6b,N.S.,Total Births,1st - 3rd Month,1
2008,6b,Total,Total Births,4th - 6th Month,"50,223"
2008,6b,<15,Total Births,4th - 6th Month,99
2008,6b,15-17,Total Births,4th - 6th Month,"1,788"
2008,6b,18-19,Total Births,4th - 6th Month,"3,854"
2008,6b,20-24,Total Births,4th - 6th Month,"13,433"
2008,6b,25-29,Total Births,4th - 6th Month,"13,182"
2008,6b,30-34,Total Births,4th - 6th Month,"10,077"
2008,6b,35-39,Total Births,4th - 6th Month,"5,987"
2008,6b,40-44,Total Births,4th - 6th Month,"1,635"
2008,6b,45+,Total Births,4th - 6th Month,164
2008,6b,N.S.,Total Births,4th - 6th Month,4
2008,6b,Total,Total Births,7th - 9th Month,"11,785"
2008,6b,<15,Total Births,7th - 9th Month,46
2008,6b,15-17,Total Births,7th - 9th Month,548
2008,6b,18-19,Total Births,7th - 9th Month,"1,035"
2008,6b,20-24,Total Births,7th - 9th Month,"3,288"
2008,6b,25-29,Total Births,7th - 9th Month,"3,049"
2008,6b,30-34,Total Births,7th - 9th Month,"2,225"
2008,6b,35-39,Total Births,7th - 9th Month,"1,239"
2008,6b,40-44,Total Births,7th - 9th Month,325
2008,6b,45+,Total Births,7th - 9th Month,29
2008,6b,N.S.,Total Births,7th - 9th Month,1
2008,6b,Total,Total Births,No PNC,"2,614"
2008,6b,<15,Total Births,No PNC,12
2008,6b,15-17,Total Births,No PNC,122
2008,6b,18-19,Total Births,No PNC,200
2008,6b,20-24,Total Births,No PNC,708
2008,6b,25-29,Total Births,No PNC,649
2008,6b,30-34,Total Births,No PNC,502
2008,6b,35-39,Total Births,No PNC,311
2008,6b,40-44,Total Births,No PNC,101
2008,6b,45+,Total Births,No PNC,7
2008,6b,N.S.,Total Births,No PNC,2
2008,6b,Total,Total Births,PNC Start Unk,"9,119"
2008,6b,<15,Total Births,PNC Start Unk,12
2008,6b,15-17,Total Births,PNC Start Unk,197
2008,6b,18-19,Total Births,PNC Start Unk,365
2008,6b,20-24,Total Births,PNC Start Unk,"1,707"
2008,6b,25-29,Total Births,PNC Start Unk,"2,219"
2008,6b,30-34,Total Births,PNC Start Unk,"2,470"
2008,6b,35-39,Total Births,PNC Start Unk,"1,612"
2008,6b,40-44,Total Births,PNC Start Unk,458
2008,6b,45+,Total Births,PNC Start Unk,56
2008,6b,N.S.,Total Births,PNC Start Unk,23
2008,6b,Total,Total Births,PNC Unk,"9,978"
2008,6b,<15,Total Births,PNC Unk,14
2008,6b,15-17,Total Births,PNC Unk,225
2008,6b,18-19,Total Births,PNC Unk,536
2008,6b,20-24,Total Births,PNC Unk,"2,181"
2008,6b,25-29,Total Births,PNC Unk,"2,529"
2008,6b,30-34,Total Births,PNC Unk,"2,485"
2008,6b,35-39,Total Births,PNC Unk,"1,558"
2008,6b,40-44,Total Births,PNC Unk,404
2008,6b,45+,Total Births,PNC Unk,40
2008,6b,N.S.,Total Births,PNC Unk,6
2008,6b,Total,White Non-Hisp,All,"120,421"
2008,6b,<15,White Non-Hisp,All,39
2008,6b,15-17,White Non-Hisp,All,"1,137"
2008,6b,18-19,White Non-Hisp,All,"3,844"
2008,6b,20-24,White Non-Hisp,All,"20,488"
2008,6b,25-29,White Non-Hisp,All,"30,490"
2008,6b,30-34,White Non-Hisp,All,"36,085"
2008,6b,35-39,White Non-Hisp,All,"22,347"
2008,6b,40-44,White Non-Hisp,All,"5,483"
2008,6b,45+,White Non-Hisp,All,492
2008,6b,N.S.,White Non-Hisp,All,16
2008,6b,Total,White Non-Hisp,1st - 3rd Month,"89,128"
2008,6b,<15,White Non-Hisp,1st - 3rd Month,14
2008,6b,15-17,White Non-Hisp,1st - 3rd Month,597
2008,6b,18-19,White Non-Hisp,1st - 3rd Month,"2,258"
2008,6b,20-24,White Non-Hisp,1st - 3rd Month,"13,201"
2008,6b,25-29,White Non-Hisp,1st - 3rd Month,"22,709"
2008,6b,30-34,White Non-Hisp,1st - 3rd Month,"28,462"
2008,6b,35-39,White Non-Hisp,1st - 3rd Month,"17,448"
2008,6b,40-44,White Non-Hisp,1st - 3rd Month,"4,100"
2008,6b,45+,White Non-Hisp,1st - 3rd Month,338
2008,6b,N.S.,White Non-Hisp,1st - 3rd Month,1
2008,6b,Total,White Non-Hisp,4th - 6th Month,"18,143"
2008,6b,<15,White Non-Hisp,4th - 6th Month,15
