Year,Table,County,Mother's Race,Number of Live Births
2008,9,New York State,Total,249655
2008,9,New York State,White Only Non-Hisp,120899
2008,9,New York State,Black Only Non-Hisp,40297
2008,9,New York State,Other Non-Hisp,28110
2008,9,New York State,White Only Hispanic,43970
2008,9,New York State,Black Only Hispanic,5265
2008,9,New York State,Total Non-Hispanic,189758
2008,9,New York State,Total Hispanic,59897
2008,9,New York City,Total,121756
2008,9,New York City,White Only Non-Hisp,34447
2008,9,New York City,Black Only Non-Hisp,27612
2008,9,New York City,Other Non-Hisp,19838
2008,9,New York City,White Only Hispanic,32041
2008,9,New York City,Black Only Hispanic,4579
2008,9,New York City,Total Non-Hispanic,82122
2008,9,New York City,Total Hispanic,39634
2008,9,Bronx,Total,23011
2008,9,Bronx,White Only Non-Hisp,1553
2008,9,Bronx,Black Only Non-Hisp,7073
2008,9,Bronx,Other Non-Hisp,1211
2008,9,Bronx,White Only Hispanic,10026
2008,9,Bronx,Black Only Hispanic,2484
2008,9,Bronx,Total Non-Hispanic,9866
2008,9,Bronx,Total Hispanic,13145
2008,9,Kings,Total,41623
2008,9,Kings,White Only Non-Hisp,14589
2008,9,Kings,Black Only Non-Hisp,11811
2008,9,Kings,Other Non-Hisp,6291
2008,9,Kings,White Only Hispanic,6859
2008,9,Kings,Black Only Hispanic,979
2008,9,Kings,Total Non-Hispanic,32768
2008,9,Kings,Total Hispanic,8855
2008,9,New York,Total,20306
2008,9,New York,White Only Non-Hisp,8520
2008,9,New York,Black Only Non-Hisp,2578
2008,9,New York,Other Non-Hisp,3305
2008,9,New York,White Only Hispanic,4859
2008,9,New York,Black Only Hispanic,551
2008,9,New York,Total Non-Hispanic,14466
2008,9,New York,Total Hispanic,5840
2008,9,Queens,Total,31063
2008,9,Queens,White Only Non-Hisp,6649
2008,9,Queens,Black Only Non-Hisp,5438
2008,9,Queens,Other Non-Hisp,8536
2008,9,Queens,White Only Hispanic,9039
2008,9,Queens,Black Only Hispanic,493
