County of Residence	County of Residence Code	Mother's Single Race 6	Mother's Single Race 6 Code	Year	Year Code	Plurality	Plurality Code	Infant Birth Weight 12	Infant Birth Weight 12 Code	Births
"Albany County, NY"	36001	American Indian or Alaska Native	1002-5	2017	2017	Single	1	499 grams or less	1	Suppressed
"Albany County, NY"	36001	American Indian or Alaska Native	1002-5	2017	2017	Single	1	500 - 999 grams	2	Suppressed
"Albany County, NY"	36001	American Indian or Alaska Native	1002-5	2017	2017	Single	1	1000 - 1499 grams	3	Suppressed
"Albany County, NY"	36001	American Indian or Alaska Native	1002-5	2018	2018	Single	1	499 grams or less	1	Suppressed
"Albany County, NY"	36001	American Indian or Alaska Native	1002-5	2018	2018	Single	1	500 - 999 grams	2	Suppressed
"Albany County, NY"	36001	American Indian or Alaska Native	1002-5	2018	2018	Single	1	1000 - 1499 grams	3	Suppressed
"Albany County, NY"	36001	American Indian or Alaska Native	1002-5	2019	2019	Single	1	499 grams or less	1	Suppressed
"Albany County, NY"	36001	American Indian or Alaska Native	1002-5	2019	2019	Single	1	500 - 999 grams	2	Suppressed
"Albany County, NY"	36001	American Indian or Alaska Native	1002-5	2019	2019	Single	1	1000 - 1499 grams	3	Suppressed
"Albany County, NY"	36001	American Indian or Alaska Native	1002-5	2020	2020	Single	1	499 grams or less	1	Suppressed
"Albany County, NY"	36001	American Indian or Alaska Native	1002-5	2020	2020	Single	1	500 - 999 grams	2	Suppressed
"Albany County, NY"	36001	American Indian or Alaska Native	1002-5	2020	2020	Single	1	1000 - 1499 grams	3	Suppressed
"Albany County, NY"	36001	American Indian or Alaska Native	1002-5	2021	2021	Single	1	499 grams or less	1	Suppressed
"Albany County, NY"	36001	American Indian or Alaska Native	1002-5	2021	2021	Single	1	500 - 999 grams	2	Suppressed
"Albany County, NY"	36001	American Indian or Alaska Native	1002-5	2021	2021	Single	1	1000 - 1499 grams	3	Suppressed
"Albany County, NY"	36001	Asian	A	2017	2017	Single	1	499 grams or less	1	Suppressed
"Albany County, NY"	36001	Asian	A	2017	2017	Single	1	500 - 999 grams	2	Suppressed
"Albany County, NY"	36001	Asian	A	2017	2017	Single	1	1000 - 1499 grams	3	Suppressed
"Albany County, NY"	36001	Asian	A	2018	2018	Single	1	499 grams or less	1	Suppressed
"Albany County, NY"	36001	Asian	A	2018	2018	Single	1	500 - 999 grams	2	Suppressed
"Albany County, NY"	36001	Asian	A	2018	2018	Single	1	1000 - 1499 grams	3	Suppressed
"Albany County, NY"	36001	Asian	A	2019	2019	Single	1	499 grams or less	1	Suppressed
"Albany County, NY"	36001	Asian	A	2019	2019	Single	1	500 - 999 grams	2	Suppressed
"Albany County, NY"	36001	Asian	A	2019	2019	Single	1	1000 - 1499 grams	3	Suppressed
