Notes	County of Residence	County of Residence Code	Mother's Single Race 6	Mother's Single Race 6 Code	Mother's Hispanic Origin	Mother's Hispanic Origin Code	Year	Year Code	Births
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	2016	2016	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	2017	2017	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	2018	2018	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	2019	2019	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	2020	2020	10
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	2021	2021	Suppressed
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	2016	2016	311
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	2017	2017	331
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	2018	2018	289
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	2019	2019	312
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	2020	2020	303
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	2021	2021	256
	"Albany County, NY"	36001	Black or African American	2054-5	Hispanic or Latino	2135-2	2016	2016	57
	"Albany County, NY"	36001	Black or African American	2054-5	Hispanic or Latino	2135-2	2017	2017	58
	"Albany County, NY"	36001	Black or African American	2054-5	Hispanic or Latino	2135-2	2018	2018	77
	"Albany County, NY"	36001	Black or African American	2054-5	Hispanic or Latino	2135-2	2019	2019	86
	"Albany County, NY"	36001	Black or African American	2054-5	Hispanic or Latino	2135-2	2020	2020	87
	"Albany County, NY"	36001	Black or African American	2054-5	Hispanic or Latino	2135-2	2021	2021	69
	"Albany County, NY"	36001	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2016	2016	517
	"Albany County, NY"	36001	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2017	2017	555
	"Albany County, NY"	36001	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2018	2018	474
	"Albany County, NY"	36001	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2019	2019	540
	"Albany County, NY"	36001	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2020	2020	490
	"Albany County, NY"	36001	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2021	2021	483
	"Albany County, NY"	36001	White	2106-3	Hispanic or Latino	2135-2	2016	2016	171
	"Albany County, NY"	36001	White	2106-3	Hispanic or Latino	2135-2	2017	2017	154
	"Albany County, NY"	36001	White	2106-3	Hispanic or Latino	2135-2	2018	2018	154
	"Albany County, NY"	36001	White	2106-3	Hispanic or Latino	2135-2	2019	2019	161
	"Albany County, NY"	36001	White	2106-3	Hispanic or Latino	2135-2	2020	2020	127
	"Albany County, NY"	36001	White	2106-3	Hispanic or Latino	2135-2	2021	2021	134
	"Albany County, NY"	36001	White	2106-3	Not Hispanic or Latino	2186-5	2016	2016	1715
	"Albany County, NY"	36001	White	2106-3	Not Hispanic or Latino	2186-5	2017	2017	1730
	"Albany County, NY"	36001	White	2106-3	Not Hispanic or Latino	2186-5	2018	2018	1639
	"Albany County, NY"	36001	White	2106-3	Not Hispanic or Latino	2186-5	2019	2019	1559
	"Albany County, NY"	36001	White	2106-3	Not Hispanic or Latino	2186-5	2020	2020	1557
	"Albany County, NY"	36001	White	2106-3	Not Hispanic or Latino	2186-5	2021	2021	1682
	"Bronx County, NY"	36005	Asian	A	Hispanic or Latino	2135-2	2016	2016	875
	"Bronx County, NY"	36005	Asian	A	Hispanic or Latino	2135-2	2017	2017	789
	"Bronx County, NY"	36005	Asian	A	Hispanic or Latino	2135-2	2018	2018	79
	"Bronx County, NY"	36005	Asian	A	Hispanic or Latino	2135-2	2019	2019	84
	"Bronx County, NY"	36005	Asian	A	Hispanic or Latino	2135-2	2020	2020	68
	"Bronx County, NY"	36005	Asian	A	Hispanic or Latino	2135-2	2021	2021	80
	"Bronx County, NY"	36005	Asian	A	Not Hispanic or Latino	2186-5	2016	2016	1000
	"Bronx County, NY"	36005	Asian	A	Not Hispanic or Latino	2186-5	2017	2017	953
	"Bronx County, NY"	36005	Asian	A	Not Hispanic or Latino	2186-5	2018	2018	1034
	"Bronx County, NY"	36005	Asian	A	Not Hispanic or Latino	2186-5	2019	2019	1058
	"Bronx County, NY"	36005	Asian	A	Not Hispanic or Latino	2186-5	2020	2020	957
	"Bronx County, NY"	36005	Asian	A	Not Hispanic or Latino	2186-5	2021	2021	951
	"Bronx County, NY"	36005	Black or African American	2054-5	Hispanic or Latino	2135-2	2016	2016	3427
	"Bronx County, NY"	36005	Black or African American	2054-5	Hispanic or Latino	2135-2	2017	2017	2791
	"Bronx County, NY"	36005	Black or African American	2054-5	Hispanic or Latino	2135-2	2018	2018	2517
	"Bronx County, NY"	36005	Black or African American	2054-5	Hispanic or Latino	2135-2	2019	2019	2867
	"Bronx County, NY"	36005	Black or African American	2054-5	Hispanic or Latino	2135-2	2020	2020	3374
	"Bronx County, NY"	36005	Black or African American	2054-5	Hispanic or Latino	2135-2	2021	2021	3889
	"Bronx County, NY"	36005	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2016	2016	5815
	"Bronx County, NY"	36005	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2017	2017	5713
	"Bronx County, NY"	36005	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2018	2018	5585
	"Bronx County, NY"	36005	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2019	2019	5332
	"Bronx County, NY"	36005	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2020	2020	4799
	"Bronx County, NY"	36005	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2021	2021	4469
	"Bronx County, NY"	36005	White	2106-3	Hispanic or Latino	2135-2	2016	2016	7233
	"Bronx County, NY"	36005	White	2106-3	Hispanic or Latino	2135-2	2017	2017	7490
	"Bronx County, NY"	36005	White	2106-3	Hispanic or Latino	2135-2	2018	2018	8128
	"Bronx County, NY"	36005	White	2106-3	Hispanic or Latino	2135-2	2019	2019	7328
	"Bronx County, NY"	36005	White	2106-3	Hispanic or Latino	2135-2	2020	2020	6266
	"Bronx County, NY"	36005	White	2106-3	Hispanic or Latino	2135-2	2021	2021	5424
	"Bronx County, NY"	36005	White	2106-3	Not Hispanic or Latino	2186-5	2016	2016	1454
	"Bronx County, NY"	36005	White	2106-3	Not Hispanic or Latino	2186-5	2017	2017	1579
	"Bronx County, NY"	36005	White	2106-3	Not Hispanic or Latino	2186-5	2018	2018	1500
	"Bronx County, NY"	36005	White	2106-3	Not Hispanic or Latino	2186-5	2019	2019	1454
	"Bronx County, NY"	36005	White	2106-3	Not Hispanic or Latino	2186-5	2020	2020	1338
	"Bronx County, NY"	36005	White	2106-3	Not Hispanic or Latino	2186-5	2021	2021	1252
	"Broome County, NY"	36007	Asian	A	Hispanic or Latino	2135-2	2016	2016	Suppressed
	"Broome County, NY"	36007	Asian	A	Hispanic or Latino	2135-2	2017	2017	Suppressed
	"Broome County, NY"	36007	Asian	A	Hispanic or Latino	2135-2	2018	2018	Suppressed
	"Broome County, NY"	36007	Asian	A	Hispanic or Latino	2135-2	2019	2019	Suppressed
	"Broome County, NY"	36007	Asian	A	Hispanic or Latino	2135-2	2020	2020	Suppressed
	"Broome County, NY"	36007	Asian	A	Hispanic or Latino	2135-2	2021	2021	Suppressed
	"Broome County, NY"	36007	Asian	A	Not Hispanic or Latino	2186-5	2016	2016	64
	"Broome County, NY"	36007	Asian	A	Not Hispanic or Latino	2186-5	2017	2017	60
	"Broome County, NY"	36007	Asian	A	Not Hispanic or Latino	2186-5	2018	2018	71
	"Broome County, NY"	36007	Asian	A	Not Hispanic or Latino	2186-5	2019	2019	81
	"Broome County, NY"	36007	Asian	A	Not Hispanic or Latino	2186-5	2020	2020	71
	"Broome County, NY"	36007	Asian	A	Not Hispanic or Latino	2186-5	2021	2021	73
	"Broome County, NY"	36007	Black or African American	2054-5	Hispanic or Latino	2135-2	2016	2016	29
	"Broome County, NY"	36007	Black or African American	2054-5	Hispanic or Latino	2135-2	2017	2017	28
	"Broome County, NY"	36007	Black or African American	2054-5	Hispanic or Latino	2135-2	2018	2018	27
	"Broome County, NY"	36007	Black or African American	2054-5	Hispanic or Latino	2135-2	2019	2019	34
	"Broome County, NY"	36007	Black or African American	2054-5	Hispanic or Latino	2135-2	2020	2020	51
	"Broome County, NY"	36007	Black or African American	2054-5	Hispanic or Latino	2135-2	2021	2021	34
	"Broome County, NY"	36007	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2016	2016	139
	"Broome County, NY"	36007	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2017	2017	160
	"Broome County, NY"	36007	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2018	2018	151
	"Broome County, NY"	36007	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2019	2019	147
	"Broome County, NY"	36007	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2020	2020	150
	"Broome County, NY"	36007	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2021	2021	166
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	2016	2016	84
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	2017	2017	59
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	2018	2018	70
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	2019	2019	68
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	2020	2020	82
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	2021	2021	95
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	2016	2016	1525
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	2017	2017	1503
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	2018	2018	1418
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	2019	2019	1491
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	2020	2020	1282
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	2021	2021	1351
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	2016	2016	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	2017	2017	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	2018	2018	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	2019	2019	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	2020	2020	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	2021	2021	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Not Hispanic or Latino	2186-5	2016	2016	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Not Hispanic or Latino	2186-5	2017	2017	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Not Hispanic or Latino	2186-5	2018	2018	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Not Hispanic or Latino	2186-5	2019	2019	12
	"Chautauqua County, NY"	36013	Asian	A	Not Hispanic or Latino	2186-5	2020	2020	13
	"Chautauqua County, NY"	36013	Asian	A	Not Hispanic or Latino	2186-5	2021	2021	Suppressed
	"Chautauqua County, NY"	36013	Black or African American	2054-5	Hispanic or Latino	2135-2	2016	2016	Suppressed
	"Chautauqua County, NY"	36013	Black or African American	2054-5	Hispanic or Latino	2135-2	2017	2017	11
	"Chautauqua County, NY"	36013	Black or African American	2054-5	Hispanic or Latino	2135-2	2018	2018	14
	"Chautauqua County, NY"	36013	Black or African American	2054-5	Hispanic or Latino	2135-2	2019	2019	Suppressed
	"Chautauqua County, NY"	36013	Black or African American	2054-5	Hispanic or Latino	2135-2	2020	2020	14
	"Chautauqua County, NY"	36013	Black or African American	2054-5	Hispanic or Latino	2135-2	2021	2021	10
	"Chautauqua County, NY"	36013	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2016	2016	19
	"Chautauqua County, NY"	36013	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2017	2017	Suppressed
	"Chautauqua County, NY"	36013	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2018	2018	15
	"Chautauqua County, NY"	36013	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2019	2019	12
	"Chautauqua County, NY"	36013	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2020	2020	17
	"Chautauqua County, NY"	36013	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2021	2021	21
	"Chautauqua County, NY"	36013	White	2106-3	Hispanic or Latino	2135-2	2016	2016	130
	"Chautauqua County, NY"	36013	White	2106-3	Hispanic or Latino	2135-2	2017	2017	136
	"Chautauqua County, NY"	36013	White	2106-3	Hispanic or Latino	2135-2	2018	2018	138
	"Chautauqua County, NY"	36013	White	2106-3	Hispanic or Latino	2135-2	2019	2019	158
