Notes	County of Residence	County of Residence Code	Mother's Single Race 6	Mother's Single Race 6 Code	Plurality	Plurality Code	Infant Birth Weight 12	Infant Birth Weight 12 Code	Year	Year Code	Births
	"Albany County, NY"	36001	American Indian or Alaska Native	1002-5	Single	1	500 - 999 grams	2	2016	2016	Suppressed
	"Albany County, NY"	36001	American Indian or Alaska Native	1002-5	Single	1	500 - 999 grams	2	2017	2017	Suppressed
	"Albany County, NY"	36001	American Indian or Alaska Native	1002-5	Single	1	500 - 999 grams	2	2018	2018	Suppressed
	"Albany County, NY"	36001	American Indian or Alaska Native	1002-5	Single	1	500 - 999 grams	2	2019	2019	Suppressed
	"Albany County, NY"	36001	American Indian or Alaska Native	1002-5	Single	1	500 - 999 grams	2	2020	2020	Suppressed
	"Albany County, NY"	36001	American Indian or Alaska Native	1002-5	Single	1	500 - 999 grams	2	2021	2021	Suppressed
	"Albany County, NY"	36001	American Indian or Alaska Native	1002-5	Single	1	1000 - 1499 grams	3	2016	2016	Suppressed
	"Albany County, NY"	36001	American Indian or Alaska Native	1002-5	Single	1	1000 - 1499 grams	3	2017	2017	Suppressed
	"Albany County, NY"	36001	American Indian or Alaska Native	1002-5	Single	1	1000 - 1499 grams	3	2018	2018	Suppressed
	"Albany County, NY"	36001	American Indian or Alaska Native	1002-5	Single	1	1000 - 1499 grams	3	2019	2019	Suppressed
	"Albany County, NY"	36001	American Indian or Alaska Native	1002-5	Single	1	1000 - 1499 grams	3	2020	2020	Suppressed
	"Albany County, NY"	36001	American Indian or Alaska Native	1002-5	Single	1	1000 - 1499 grams	3	2021	2021	Suppressed
	"Albany County, NY"	36001	Asian	A	Single	1	500 - 999 grams	2	2016	2016	Suppressed
	"Albany County, NY"	36001	Asian	A	Single	1	500 - 999 grams	2	2017	2017	Suppressed
	"Albany County, NY"	36001	Asian	A	Single	1	500 - 999 grams	2	2018	2018	Suppressed
	"Albany County, NY"	36001	Asian	A	Single	1	500 - 999 grams	2	2019	2019	Suppressed
	"Albany County, NY"	36001	Asian	A	Single	1	500 - 999 grams	2	2020	2020	Suppressed
	"Albany County, NY"	36001	Asian	A	Single	1	500 - 999 grams	2	2021	2021	Suppressed
	"Albany County, NY"	36001	Asian	A	Single	1	1000 - 1499 grams	3	2016	2016	Suppressed
	"Albany County, NY"	36001	Asian	A	Single	1	1000 - 1499 grams	3	2017	2017	Suppressed
	"Albany County, NY"	36001	Asian	A	Single	1	1000 - 1499 grams	3	2018	2018	Suppressed
	"Albany County, NY"	36001	Asian	A	Single	1	1000 - 1499 grams	3	2019	2019	Suppressed
	"Albany County, NY"	36001	Asian	A	Single	1	1000 - 1499 grams	3	2020	2020	Suppressed
	"Albany County, NY"	36001	Asian	A	Single	1	1000 - 1499 grams	3	2021	2021	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	Single	1	500 - 999 grams	2	2016	2016	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	Single	1	500 - 999 grams	2	2017	2017	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	Single	1	500 - 999 grams	2	2018	2018	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	Single	1	500 - 999 grams	2	2019	2019	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	Single	1	500 - 999 grams	2	2020	2020	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	Single	1	500 - 999 grams	2	2021	2021	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	Single	1	1000 - 1499 grams	3	2016	2016	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	Single	1	1000 - 1499 grams	3	2017	2017	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	Single	1	1000 - 1499 grams	3	2018	2018	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	Single	1	1000 - 1499 grams	3	2019	2019	11
	"Albany County, NY"	36001	Black or African American	2054-5	Single	1	1000 - 1499 grams	3	2020	2020	10
	"Albany County, NY"	36001	Black or African American	2054-5	Single	1	1000 - 1499 grams	3	2021	2021	Suppressed
	"Albany County, NY"	36001	Native Hawaiian or Other Pacific Islander	NHOPI	Single	1	500 - 999 grams	2	2016	2016	Suppressed
	"Albany County, NY"	36001	Native Hawaiian or Other Pacific Islander	NHOPI	Single	1	500 - 999 grams	2	2017	2017	Suppressed
	"Albany County, NY"	36001	Native Hawaiian or Other Pacific Islander	NHOPI	Single	1	500 - 999 grams	2	2018	2018	Suppressed
