BoroName	BoroCode	Year	Mother's Single Race 6	Source of Payment for Delivery	Births
Bronx	2	2016	Asian	Medicaid	40
Bronx	2	2016	Asian	Private Insurance	Suppressed
Bronx	2	2016	Asian	Self Pay	Suppressed
Bronx	2	2016	Black or African American	Medicaid	215
Bronx	2	2016	Black or African American	Private Insurance	67
Bronx	2	2016	Black or African American	Self Pay	Suppressed
Bronx	2	2016	White	Medicaid	158
Bronx	2	2016	White	Private Insurance	41
Bronx	2	2016	White	Self Pay	Suppressed
Bronx	2	2017	Asian	Medicaid	26
Bronx	2	2017	Asian	Private Insurance	Suppressed
Bronx	2	2017	Asian	Self Pay	Suppressed
Bronx	2	2017	Black or African American	Medicaid	238
Bronx	2	2017	Black or African American	Private Insurance	66
Bronx	2	2017	Black or African American	Self Pay	12
Bronx	2	2017	White	Medicaid	170
Bronx	2	2017	White	Private Insurance	33
Bronx	2	2017	White	Self Pay	Suppressed
Bronx	2	2018	Asian	Medicaid	22
Bronx	2	2018	Asian	Private Insurance	Suppressed
Bronx	2	2018	Asian	Self Pay	Suppressed
Bronx	2	2018	Black or African American	Medicaid	192
Bronx	2	2018	Black or African American	Private Insurance	81
Bronx	2	2018	Black or African American	Self Pay	Suppressed
Bronx	2	2018	White	Medicaid	167
Bronx	2	2018	White	Private Insurance	32
Bronx	2	2018	White	Self Pay	Suppressed
Bronx	2	2019	Asian	Medicaid	16
Bronx	2	2019	Asian	Private Insurance	Suppressed
Bronx	2	2019	Asian	Self Pay	Suppressed
Bronx	2	2019	Black or African American	Medicaid	217
Bronx	2	2019	Black or African American	Private Insurance	74
Bronx	2	2019	Black or African American	Self Pay	Suppressed
Bronx	2	2019	White	Medicaid	166
Bronx	2	2019	White	Private Insurance	52
Bronx	2	2019	White	Self Pay	Suppressed
Bronx	2	2020	Asian	Medicaid	18
Bronx	2	2020	Asian	Private Insurance	Suppressed
Bronx	2	2020	Asian	Self Pay	Suppressed
Bronx	2	2020	Black or African American	Medicaid	220
Bronx	2	2020	Black or African American	Private Insurance	75
Bronx	2	2020	Black or African American	Self Pay	Suppressed
Bronx	2	2020	White	Medicaid	141
Bronx	2	2020	White	Private Insurance	43
Bronx	2	2020	White	Self Pay	Suppressed
Bronx	2	2021	Asian	Medicaid	20
Bronx	2	2021	Asian	Private Insurance	Suppressed
Bronx	2	2021	Asian	Self Pay	Suppressed
Bronx	2	2021	Black or African American	Medicaid	221
Bronx	2	2021	Black or African American	Private Insurance	62
Bronx	2	2021	Black or African American	Self Pay	Suppressed
Bronx	2	2021	White	Medicaid	126
Bronx	2	2021	White	Private Insurance	30
Bronx	2	2021	White	Self Pay	Suppressed
Brooklyn	3	2016	Asian	Medicaid	83
Brooklyn	3	2016	Asian	Private Insurance	20
Brooklyn	3	2016	Asian	Self Pay	Suppressed
Brooklyn	3	2016	Black or African American	Medicaid	249
Brooklyn	3	2016	Black or African American	Private Insurance	98
Brooklyn	3	2016	Black or African American	Self Pay	Suppressed
Brooklyn	3	2016	White	Medicaid	157
Brooklyn	3	2016	White	Private Insurance	110
Brooklyn	3	2016	White	Self Pay	Suppressed
Brooklyn	3	2017	Asian	Medicaid	69
Brooklyn	3	2017	Asian	Private Insurance	28
Brooklyn	3	2017	Asian	Self Pay	Suppressed
Brooklyn	3	2017	Black or African American	Medicaid	267
Brooklyn	3	2017	Black or African American	Private Insurance	115
Brooklyn	3	2017	Black or African American	Self Pay	Suppressed
Brooklyn	3	2017	White	Medicaid	155
Brooklyn	3	2017	White	Private Insurance	107
Brooklyn	3	2017	White	Self Pay	Suppressed
Brooklyn	3	2018	Asian	Medicaid	63
Brooklyn	3	2018	Asian	Private Insurance	24
Brooklyn	3	2018	Asian	Self Pay	Suppressed
Brooklyn	3	2018	Black or African American	Medicaid	272
Brooklyn	3	2018	Black or African American	Private Insurance	103
Brooklyn	3	2018	Black or African American	Self Pay	Suppressed
Brooklyn	3	2018	White	Medicaid	161
Brooklyn	3	2018	White	Private Insurance	91
Brooklyn	3	2018	White	Self Pay	Suppressed
Brooklyn	3	2019	Asian	Medicaid	63
Brooklyn	3	2019	Asian	Private Insurance	27
Brooklyn	3	2019	Asian	Self Pay	Suppressed
Brooklyn	3	2019	Black or African American	Medicaid	245
Brooklyn	3	2019	Black or African American	Private Insurance	77
Brooklyn	3	2019	Black or African American	Self Pay	Suppressed
Brooklyn	3	2019	White	Medicaid	143
Brooklyn	3	2019	White	Private Insurance	96
Brooklyn	3	2019	White	Self Pay	Suppressed
Brooklyn	3	2020	Asian	Medicaid	50
Brooklyn	3	2020	Asian	Private Insurance	25
Brooklyn	3	2020	Asian	Self Pay	Suppressed
Brooklyn	3	2020	Black or African American	Medicaid	212
Brooklyn	3	2020	Black or African American	Private Insurance	109
Brooklyn	3	2020	Black or African American	Self Pay	Suppressed
Brooklyn	3	2020	White	Medicaid	147
Brooklyn	3	2020	White	Private Insurance	82
Brooklyn	3	2020	White	Self Pay	Suppressed
Brooklyn	3	2021	Asian	Medicaid	40
Brooklyn	3	2021	Asian	Private Insurance	30
Brooklyn	3	2021	Asian	Self Pay	Suppressed
Brooklyn	3	2021	Black or African American	Medicaid	242
Brooklyn	3	2021	Black or African American	Private Insurance	85
Brooklyn	3	2021	Black or African American	Self Pay	Suppressed
Brooklyn	3	2021	White	Medicaid	136
Brooklyn	3	2021	White	Private Insurance	82
Brooklyn	3	2021	White	Self Pay	Suppressed
Manhattan	1	2016	Asian	Medicaid	11
Manhattan	1	2016	Asian	Private Insurance	24
Manhattan	1	2016	Asian	Self Pay	Suppressed
Manhattan	1	2016	Black or African American	Medicaid	62
Manhattan	1	2016	Black or African American	Private Insurance	21
Manhattan	1	2016	Black or African American	Self Pay	Suppressed
Manhattan	1	2016	White	Medicaid	53
Manhattan	1	2016	White	Private Insurance	78
Manhattan	1	2016	White	Self Pay	Suppressed
Manhattan	1	2017	Asian	Medicaid	13
Manhattan	1	2017	Asian	Private Insurance	17
Manhattan	1	2017	Asian	Self Pay	Suppressed
Manhattan	1	2017	Black or African American	Medicaid	83
Manhattan	1	2017	Black or African American	Private Insurance	19
Manhattan	1	2017	Black or African American	Self Pay	Suppressed
Manhattan	1	2017	White	Medicaid	62
Manhattan	1	2017	White	Private Insurance	99
Manhattan	1	2017	White	Self Pay	Suppressed
