Notes	County of Residence	County of Residence Code	Year	Year Code	Births
	"Albany County, NY"	36001	2016	2016	249
	"Albany County, NY"	36001	2017	2017	241
	"Albany County, NY"	36001	2018	2018	209
	"Albany County, NY"	36001	2019	2019	222
	"Albany County, NY"	36001	2020	2020	219
	"Albany County, NY"	36001	2021	2021	231
Total	"Albany County, NY"	36001			1371
	"Bronx County, NY"	36005	2016	2016	1915
	"Bronx County, NY"	36005	2017	2017	1948
	"Bronx County, NY"	36005	2018	2018	1900
	"Bronx County, NY"	36005	2019	2019	1886
	"Bronx County, NY"	36005	2020	2020	1788
	"Bronx County, NY"	36005	2021	2021	1785
	"Broome County, NY"	36007	2016	2016	132
	"Broome County, NY"	36007	2017	2017	161
	"Broome County, NY"	36007	2018	2018	138
	"Broome County, NY"	36007	2019	2019	127
	"Broome County, NY"	36007	2020	2020	143
	"Broome County, NY"	36007	2021	2021	130
Total	"Broome County, NY"	36007			831
	"Chautauqua County, NY"	36013	2016	2016	96
	"Chautauqua County, NY"	36013	2017	2017	82
	"Chautauqua County, NY"	36013	2018	2018	107
	"Chautauqua County, NY"	36013	2019	2019	109
	"Chautauqua County, NY"	36013	2020	2020	86
	"Chautauqua County, NY"	36013	2021	2021	101
Total	"Chautauqua County, NY"	36013			581
	"Dutchess County, NY"	36027	2016	2016	169
	"Dutchess County, NY"	36027	2017	2017	197
	"Dutchess County, NY"	36027	2018	2018	165
	"Dutchess County, NY"	36027	2019	2019	191
	"Dutchess County, NY"	36027	2020	2020	190
	"Dutchess County, NY"	36027	2021	2021	205
Total	"Dutchess County, NY"	36027			1117
	"Erie County, NY"	36029	2016	2016	836
	"Erie County, NY"	36029	2017	2017	842
	"Erie County, NY"	36029	2018	2018	804
	"Erie County, NY"	36029	2019	2019	789
	"Erie County, NY"	36029	2020	2020	792
	"Erie County, NY"	36029	2021	2021	849
Total	"Erie County, NY"	36029			4912
	"Jefferson County, NY"	36045	2016	2016	116
	"Jefferson County, NY"	36045	2017	2017	113
	"Jefferson County, NY"	36045	2018	2018	112
	"Jefferson County, NY"	36045	2019	2019	138
	"Jefferson County, NY"	36045	2020	2020	125
	"Jefferson County, NY"	36045	2021	2021	135
Total	"Jefferson County, NY"	36045			739
	"Kings County, NY"	36047	2016	2016	2960
	"Kings County, NY"	36047	2017	2017	2881
	"Kings County, NY"	36047	2018	2018	2881
	"Kings County, NY"	36047	2019	2019	2724
	"Kings County, NY"	36047	2020	2020	2493
	"Kings County, NY"	36047	2021	2021	2564
	"Monroe County, NY"	36055	2016	2016	604
	"Monroe County, NY"	36055	2017	2017	686
	"Monroe County, NY"	36055	2018	2018	624
	"Monroe County, NY"	36055	2019	2019	667
	"Monroe County, NY"	36055	2020	2020	638
	"Monroe County, NY"	36055	2021	2021	692
Total	"Monroe County, NY"	36055			3911
	"Nassau County, NY"	36059	2016	2016	1130
	"Nassau County, NY"	36059	2017	2017	1069
	"Nassau County, NY"	36059	2018	2018	1040
	"Nassau County, NY"	36059	2019	2019	1074
	"Nassau County, NY"	36059	2020	2020	1027
	"Nassau County, NY"	36059	2021	2021	1129
Total	"Nassau County, NY"	36059			6469
	"New York County, NY"	36061	2016	2016	1260
	"New York County, NY"	36061	2017	2017	1395
	"New York County, NY"	36061	2018	2018	1336
	"New York County, NY"	36061	2019	2019	1194
	"New York County, NY"	36061	2020	2020	1159
	"New York County, NY"	36061	2021	2021	1109
	"Niagara County, NY"	36063	2016	2016	144
	"Niagara County, NY"	36063	2017	2017	174
	"Niagara County, NY"	36063	2018	2018	167
	"Niagara County, NY"	36063	2019	2019	141
	"Niagara County, NY"	36063	2020	2020	146
	"Niagara County, NY"	36063	2021	2021	175
Total	"Niagara County, NY"	36063			947
	"Oneida County, NY"	36065	2016	2016	188
	"Oneida County, NY"	36065	2017	2017	173
	"Oneida County, NY"	36065	2018	2018	160
	"Oneida County, NY"	36065	2019	2019	177
	"Oneida County, NY"	36065	2020	2020	205
	"Oneida County, NY"	36065	2021	2021	209
Total	"Oneida County, NY"	36065			1112
	"Onondaga County, NY"	36067	2016	2016	382
	"Onondaga County, NY"	36067	2017	2017	364
	"Onondaga County, NY"	36067	2018	2018	389
	"Onondaga County, NY"	36067	2019	2019	335
	"Onondaga County, NY"	36067	2020	2020	370
	"Onondaga County, NY"	36067	2021	2021	388
Total	"Onondaga County, NY"	36067			2228
	"Ontario County, NY"	36069	2016	2016	49
	"Ontario County, NY"	36069	2017	2017	62
	"Ontario County, NY"	36069	2018	2018	68
	"Ontario County, NY"	36069	2019	2019	59
	"Ontario County, NY"	36069	2020	2020	58
	"Ontario County, NY"	36069	2021	2021	69
Total	"Ontario County, NY"	36069			365
	"Orange County, NY"	36071	2016	2016	337
	"Orange County, NY"	36071	2017	2017	304
	"Orange County, NY"	36071	2018	2018	321
	"Orange County, NY"	36071	2019	2019	346
	"Orange County, NY"	36071	2020	2020	364
	"Orange County, NY"	36071	2021	2021	348
Total	"Orange County, NY"	36071			2020
	"Oswego County, NY"	36075	2016	2016	87
	"Oswego County, NY"	36075	2017	2017	93
	"Oswego County, NY"	36075	2018	2018	70
	"Oswego County, NY"	36075	2019	2019	66
	"Oswego County, NY"	36075	2020	2020	66
	"Oswego County, NY"	36075	2021	2021	108
Total	"Oswego County, NY"	36075			490
	"Queens County, NY"	36081	2016	2016	2414
	"Queens County, NY"	36081	2017	2017	2387
	"Queens County, NY"	36081	2018	2018	2314
	"Queens County, NY"	36081	2019	2019	2312
	"Queens County, NY"	36081	2020	2020	2046
	"Queens County, NY"	36081	2021	2021	2124
	"Rensselaer County, NY"	36083	2016	2016	118
	"Rensselaer County, NY"	36083	2017	2017	138
	"Rensselaer County, NY"	36083	2018	2018	101
	"Rensselaer County, NY"	36083	2019	2019	151
	"Rensselaer County, NY"	36083	2020	2020	132
	"Rensselaer County, NY"	36083	2021	2021	101
Total	"Rensselaer County, NY"	36083			741
	"Richmond County, NY"	36085	2016	2016	390
	"Richmond County, NY"	36085	2017	2017	450
	"Richmond County, NY"	36085	2018	2018	405
	"Richmond County, NY"	36085	2019	2019	374
	"Richmond County, NY"	36085	2020	2020	374
	"Richmond County, NY"	36085	2021	2021	393
					
	"Rockland County, NY"	36087	2016	2016	302
	"Rockland County, NY"	36087	2017	2017	326
	"Rockland County, NY"	36087	2018	2018	319
	"Rockland County, NY"	36087	2019	2019	310
	"Rockland County, NY"	36087	2020	2020	311
	"Rockland County, NY"	36087	2021	2021	351
Total	"Rockland County, NY"	36087			1919
	"St. Lawrence County, NY"	36089	2016	2016	56
	"St. Lawrence County, NY"	36089	2017	2017	76
	"St. Lawrence County, NY"	36089	2018	2018	66
	"St. Lawrence County, NY"	36089	2019	2019	71
