Notes	County of Residence	County of Residence Code	Mother's Single Race 6	Mother's Single Race 6 Code	Mother's Hispanic Origin	Mother's Hispanic Origin Code	Year	Year Code	Births
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	2016	2016	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	2017	2017	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	2018	2018	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	2019	2019	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	2020	2020	Suppressed
	"Albany County, NY"	36001	Asian	A	Hispanic or Latino	2135-2	2021	2021	Suppressed
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	2016	2016	Suppressed
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	2017	2017	Suppressed
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	2018	2018	Suppressed
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	2019	2019	Suppressed
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	2020	2020	Suppressed
	"Albany County, NY"	36001	Asian	A	Not Hispanic or Latino	2186-5	2021	2021	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	Hispanic or Latino	2135-2	2016	2016	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	Hispanic or Latino	2135-2	2017	2017	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	Hispanic or Latino	2135-2	2018	2018	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	Hispanic or Latino	2135-2	2019	2019	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	Hispanic or Latino	2135-2	2020	2020	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	Hispanic or Latino	2135-2	2021	2021	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2016	2016	13
	"Albany County, NY"	36001	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2017	2017	15
	"Albany County, NY"	36001	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2018	2018	16
	"Albany County, NY"	36001	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2019	2019	17
	"Albany County, NY"	36001	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2020	2020	16
	"Albany County, NY"	36001	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2021	2021	17
	"Albany County, NY"	36001	White	2106-3	Hispanic or Latino	2135-2	2016	2016	Suppressed
	"Albany County, NY"	36001	White	2106-3	Hispanic or Latino	2135-2	2017	2017	Suppressed
	"Albany County, NY"	36001	White	2106-3	Hispanic or Latino	2135-2	2018	2018	Suppressed
	"Albany County, NY"	36001	White	2106-3	Hispanic or Latino	2135-2	2019	2019	Suppressed
	"Albany County, NY"	36001	White	2106-3	Hispanic or Latino	2135-2	2020	2020	Suppressed
	"Albany County, NY"	36001	White	2106-3	Hispanic or Latino	2135-2	2021	2021	Suppressed
	"Albany County, NY"	36001	White	2106-3	Not Hispanic or Latino	2186-5	2016	2016	21
	"Albany County, NY"	36001	White	2106-3	Not Hispanic or Latino	2186-5	2017	2017	24
	"Albany County, NY"	36001	White	2106-3	Not Hispanic or Latino	2186-5	2018	2018	17
	"Albany County, NY"	36001	White	2106-3	Not Hispanic or Latino	2186-5	2019	2019	22
	"Albany County, NY"	36001	White	2106-3	Not Hispanic or Latino	2186-5	2020	2020	23
	"Albany County, NY"	36001	White	2106-3	Not Hispanic or Latino	2186-5	2021	2021	28
	"Bronx County, NY"	36005	Asian	A	Hispanic or Latino	2135-2	2016	2016	23
	"Bronx County, NY"	36005	Asian	A	Hispanic or Latino	2135-2	2017	2017	12
	"Bronx County, NY"	36005	Asian	A	Hispanic or Latino	2135-2	2018	2018	Suppressed
	"Bronx County, NY"	36005	Asian	A	Hispanic or Latino	2135-2	2019	2019	Suppressed
	"Bronx County, NY"	36005	Asian	A	Hispanic or Latino	2135-2	2020	2020	Suppressed
	"Bronx County, NY"	36005	Asian	A	Hispanic or Latino	2135-2	2021	2021	Suppressed
	"Bronx County, NY"	36005	Asian	A	Not Hispanic or Latino	2186-5	2016	2016	25
	"Bronx County, NY"	36005	Asian	A	Not Hispanic or Latino	2186-5	2017	2017	19
	"Bronx County, NY"	36005	Asian	A	Not Hispanic or Latino	2186-5	2018	2018	29
	"Bronx County, NY"	36005	Asian	A	Not Hispanic or Latino	2186-5	2019	2019	20
	"Bronx County, NY"	36005	Asian	A	Not Hispanic or Latino	2186-5	2020	2020	23
	"Bronx County, NY"	36005	Asian	A	Not Hispanic or Latino	2186-5	2021	2021	28
	"Bronx County, NY"	36005	Black or African American	2054-5	Hispanic or Latino	2135-2	2016	2016	83
	"Bronx County, NY"	36005	Black or African American	2054-5	Hispanic or Latino	2135-2	2017	2017	90
	"Bronx County, NY"	36005	Black or African American	2054-5	Hispanic or Latino	2135-2	2018	2018	68
	"Bronx County, NY"	36005	Black or African American	2054-5	Hispanic or Latino	2135-2	2019	2019	80
	"Bronx County, NY"	36005	Black or African American	2054-5	Hispanic or Latino	2135-2	2020	2020	109
	"Bronx County, NY"	36005	Black or African American	2054-5	Hispanic or Latino	2135-2	2021	2021	91
	"Bronx County, NY"	36005	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2016	2016	190
	"Bronx County, NY"	36005	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2017	2017	211
	"Bronx County, NY"	36005	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2018	2018	201
	"Bronx County, NY"	36005	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2019	2019	201
	"Bronx County, NY"	36005	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2020	2020	170
	"Bronx County, NY"	36005	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2021	2021	178
	"Bronx County, NY"	36005	White	2106-3	Hispanic or Latino	2135-2	2016	2016	164
	"Bronx County, NY"	36005	White	2106-3	Hispanic or Latino	2135-2	2017	2017	169
	"Bronx County, NY"	36005	White	2106-3	Hispanic or Latino	2135-2	2018	2018	171
	"Bronx County, NY"	36005	White	2106-3	Hispanic or Latino	2135-2	2019	2019	190
	"Bronx County, NY"	36005	White	2106-3	Hispanic or Latino	2135-2	2020	2020	154
	"Bronx County, NY"	36005	White	2106-3	Hispanic or Latino	2135-2	2021	2021	124
	"Bronx County, NY"	36005	White	2106-3	Not Hispanic or Latino	2186-5	2016	2016	27
	"Bronx County, NY"	36005	White	2106-3	Not Hispanic or Latino	2186-5	2017	2017	26
	"Bronx County, NY"	36005	White	2106-3	Not Hispanic or Latino	2186-5	2018	2018	20
	"Bronx County, NY"	36005	White	2106-3	Not Hispanic or Latino	2186-5	2019	2019	14
	"Bronx County, NY"	36005	White	2106-3	Not Hispanic or Latino	2186-5	2020	2020	16
	"Bronx County, NY"	36005	White	2106-3	Not Hispanic or Latino	2186-5	2021	2021	21
	"Broome County, NY"	36007	Asian	A	Hispanic or Latino	2135-2	2016	2016	Suppressed
	"Broome County, NY"	36007	Asian	A	Hispanic or Latino	2135-2	2017	2017	Suppressed
	"Broome County, NY"	36007	Asian	A	Hispanic or Latino	2135-2	2018	2018	Suppressed
	"Broome County, NY"	36007	Asian	A	Hispanic or Latino	2135-2	2019	2019	Suppressed
	"Broome County, NY"	36007	Asian	A	Hispanic or Latino	2135-2	2020	2020	Suppressed
	"Broome County, NY"	36007	Asian	A	Hispanic or Latino	2135-2	2021	2021	Suppressed
	"Broome County, NY"	36007	Asian	A	Not Hispanic or Latino	2186-5	2016	2016	Suppressed
	"Broome County, NY"	36007	Asian	A	Not Hispanic or Latino	2186-5	2017	2017	Suppressed
	"Broome County, NY"	36007	Asian	A	Not Hispanic or Latino	2186-5	2018	2018	Suppressed
	"Broome County, NY"	36007	Asian	A	Not Hispanic or Latino	2186-5	2019	2019	Suppressed
	"Broome County, NY"	36007	Asian	A	Not Hispanic or Latino	2186-5	2020	2020	Suppressed
	"Broome County, NY"	36007	Asian	A	Not Hispanic or Latino	2186-5	2021	2021	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	Hispanic or Latino	2135-2	2016	2016	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	Hispanic or Latino	2135-2	2017	2017	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	Hispanic or Latino	2135-2	2018	2018	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	Hispanic or Latino	2135-2	2019	2019	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	Hispanic or Latino	2135-2	2020	2020	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	Hispanic or Latino	2135-2	2021	2021	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2016	2016	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2017	2017	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2018	2018	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2019	2019	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2020	2020	Suppressed
	"Broome County, NY"	36007	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2021	2021	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	2016	2016	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	2017	2017	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	2018	2018	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	2019	2019	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	2020	2020	Suppressed
	"Broome County, NY"	36007	White	2106-3	Hispanic or Latino	2135-2	2021	2021	Suppressed
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	2016	2016	23
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	2017	2017	25
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	2018	2018	15
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	2019	2019	16
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	2020	2020	20
	"Broome County, NY"	36007	White	2106-3	Not Hispanic or Latino	2186-5	2021	2021	26
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	2016	2016	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	2017	2017	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	2018	2018	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	2019	2019	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	2020	2020	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Hispanic or Latino	2135-2	2021	2021	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Not Hispanic or Latino	2186-5	2016	2016	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Not Hispanic or Latino	2186-5	2017	2017	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Not Hispanic or Latino	2186-5	2018	2018	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Not Hispanic or Latino	2186-5	2019	2019	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Not Hispanic or Latino	2186-5	2020	2020	Suppressed
	"Chautauqua County, NY"	36013	Asian	A	Not Hispanic or Latino	2186-5	2021	2021	Suppressed
	"Chautauqua County, NY"	36013	Black or African American	2054-5	Hispanic or Latino	2135-2	2016	2016	Suppressed
	"Chautauqua County, NY"	36013	Black or African American	2054-5	Hispanic or Latino	2135-2	2017	2017	Suppressed
	"Chautauqua County, NY"	36013	Black or African American	2054-5	Hispanic or Latino	2135-2	2018	2018	Suppressed
	"Chautauqua County, NY"	36013	Black or African American	2054-5	Hispanic or Latino	2135-2	2019	2019	Suppressed
	"Chautauqua County, NY"	36013	Black or African American	2054-5	Hispanic or Latino	2135-2	2020	2020	Suppressed
	"Chautauqua County, NY"	36013	Black or African American	2054-5	Hispanic or Latino	2135-2	2021	2021	Suppressed
	"Chautauqua County, NY"	36013	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2016	2016	Suppressed
	"Chautauqua County, NY"	36013	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2017	2017	Suppressed
	"Chautauqua County, NY"	36013	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2018	2018	Suppressed
	"Chautauqua County, NY"	36013	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2019	2019	Suppressed
	"Chautauqua County, NY"	36013	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2020	2020	Suppressed
	"Chautauqua County, NY"	36013	Black or African American	2054-5	Not Hispanic or Latino	2186-5	2021	2021	Suppressed
