Notes	County of Residence	County of Residence Code	Mother's Single Race 6	Mother's Single Race 6 Code	Year	Year Code	Mother's Weight Gain Recode	Mother's Weight Gain Recode Code	Births
	"Albany County, NY"	36001	Asian	A	2016	2016	Less than 11 pounds	1	Suppressed
	"Albany County, NY"	36001	Asian	A	2016	2016	11 to 20 pounds	2	Suppressed
	"Albany County, NY"	36001	Asian	A	2016	2016	21 to 30 pounds	3	Suppressed
	"Albany County, NY"	36001	Asian	A	2016	2016	31 to 40 pounds	4	Suppressed
	"Albany County, NY"	36001	Asian	A	2016	2016	41 to 98 pounds	5	Suppressed
	"Albany County, NY"	36001	Asian	A	2017	2017	Less than 11 pounds	1	Suppressed
	"Albany County, NY"	36001	Asian	A	2017	2017	11 to 20 pounds	2	Suppressed
	"Albany County, NY"	36001	Asian	A	2017	2017	21 to 30 pounds	3	12
	"Albany County, NY"	36001	Asian	A	2017	2017	31 to 40 pounds	4	Suppressed
	"Albany County, NY"	36001	Asian	A	2017	2017	41 to 98 pounds	5	Suppressed
	"Albany County, NY"	36001	Asian	A	2018	2018	Less than 11 pounds	1	Suppressed
	"Albany County, NY"	36001	Asian	A	2018	2018	11 to 20 pounds	2	Suppressed
	"Albany County, NY"	36001	Asian	A	2018	2018	21 to 30 pounds	3	Suppressed
	"Albany County, NY"	36001	Asian	A	2018	2018	31 to 40 pounds	4	Suppressed
	"Albany County, NY"	36001	Asian	A	2018	2018	41 to 98 pounds	5	Suppressed
	"Albany County, NY"	36001	Asian	A	2019	2019	Less than 11 pounds	1	Suppressed
	"Albany County, NY"	36001	Asian	A	2019	2019	11 to 20 pounds	2	11
	"Albany County, NY"	36001	Asian	A	2019	2019	21 to 30 pounds	3	Suppressed
	"Albany County, NY"	36001	Asian	A	2019	2019	31 to 40 pounds	4	Suppressed
	"Albany County, NY"	36001	Asian	A	2019	2019	41 to 98 pounds	5	Suppressed
	"Albany County, NY"	36001	Asian	A	2020	2020	Less than 11 pounds	1	Suppressed
	"Albany County, NY"	36001	Asian	A	2020	2020	11 to 20 pounds	2	Suppressed
	"Albany County, NY"	36001	Asian	A	2020	2020	21 to 30 pounds	3	Suppressed
	"Albany County, NY"	36001	Asian	A	2020	2020	31 to 40 pounds	4	Suppressed
	"Albany County, NY"	36001	Asian	A	2020	2020	41 to 98 pounds	5	Suppressed
	"Albany County, NY"	36001	Asian	A	2021	2021	Less than 11 pounds	1	Suppressed
	"Albany County, NY"	36001	Asian	A	2021	2021	11 to 20 pounds	2	Suppressed
	"Albany County, NY"	36001	Asian	A	2021	2021	21 to 30 pounds	3	Suppressed
	"Albany County, NY"	36001	Asian	A	2021	2021	31 to 40 pounds	4	Suppressed
	"Albany County, NY"	36001	Asian	A	2021	2021	41 to 98 pounds	5	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	2016	2016	Less than 11 pounds	1	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	2016	2016	11 to 20 pounds	2	12
	"Albany County, NY"	36001	Black or African American	2054-5	2016	2016	21 to 30 pounds	3	14
	"Albany County, NY"	36001	Black or African American	2054-5	2016	2016	31 to 40 pounds	4	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	2016	2016	41 to 98 pounds	5	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	2017	2017	Less than 11 pounds	1	13
	"Albany County, NY"	36001	Black or African American	2054-5	2017	2017	11 to 20 pounds	2	15
	"Albany County, NY"	36001	Black or African American	2054-5	2017	2017	21 to 30 pounds	3	12
	"Albany County, NY"	36001	Black or African American	2054-5	2017	2017	31 to 40 pounds	4	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	2017	2017	41 to 98 pounds	5	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	2018	2018	Less than 11 pounds	1	13
	"Albany County, NY"	36001	Black or African American	2054-5	2018	2018	11 to 20 pounds	2	18
	"Albany County, NY"	36001	Black or African American	2054-5	2018	2018	21 to 30 pounds	3	13
	"Albany County, NY"	36001	Black or African American	2054-5	2018	2018	31 to 40 pounds	4	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	2018	2018	41 to 98 pounds	5	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	2019	2019	Less than 11 pounds	1	12
	"Albany County, NY"	36001	Black or African American	2054-5	2019	2019	11 to 20 pounds	2	15
	"Albany County, NY"	36001	Black or African American	2054-5	2019	2019	21 to 30 pounds	3	14
	"Albany County, NY"	36001	Black or African American	2054-5	2019	2019	31 to 40 pounds	4	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	2019	2019	41 to 98 pounds	5	11
	"Albany County, NY"	36001	Black or African American	2054-5	2020	2020	Less than 11 pounds	1	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	2020	2020	11 to 20 pounds	2	17
	"Albany County, NY"	36001	Black or African American	2054-5	2020	2020	21 to 30 pounds	3	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	2020	2020	31 to 40 pounds	4	12
	"Albany County, NY"	36001	Black or African American	2054-5	2020	2020	41 to 98 pounds	5	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	2021	2021	Less than 11 pounds	1	19
	"Albany County, NY"	36001	Black or African American	2054-5	2021	2021	11 to 20 pounds	2	13
	"Albany County, NY"	36001	Black or African American	2054-5	2021	2021	21 to 30 pounds	3	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	2021	2021	31 to 40 pounds	4	Suppressed
	"Albany County, NY"	36001	Black or African American	2054-5	2021	2021	41 to 98 pounds	5	Suppressed
	"Albany County, NY"	36001	White	2106-3	2016	2016	Less than 11 pounds	1	14
	"Albany County, NY"	36001	White	2106-3	2016	2016	11 to 20 pounds	2	26
	"Albany County, NY"	36001	White	2106-3	2016	2016	21 to 30 pounds	3	21
	"Albany County, NY"	36001	White	2106-3	2016	2016	31 to 40 pounds	4	13
	"Albany County, NY"	36001	White	2106-3	2016	2016	41 to 98 pounds	5	11
	"Albany County, NY"	36001	White	2106-3	2017	2017	Less than 11 pounds	1	17
	"Albany County, NY"	36001	White	2106-3	2017	2017	11 to 20 pounds	2	32
	"Albany County, NY"	36001	White	2106-3	2017	2017	21 to 30 pounds	3	21
	"Albany County, NY"	36001	White	2106-3	2017	2017	31 to 40 pounds	4	12
	"Albany County, NY"	36001	White	2106-3	2017	2017	41 to 98 pounds	5	14
	"Albany County, NY"	36001	White	2106-3	2018	2018	Less than 11 pounds	1	Suppressed
	"Albany County, NY"	36001	White	2106-3	2018	2018	11 to 20 pounds	2	23
	"Albany County, NY"	36001	White	2106-3	2018	2018	21 to 30 pounds	3	18
	"Albany County, NY"	36001	White	2106-3	2018	2018	31 to 40 pounds	4	Suppressed
	"Albany County, NY"	36001	White	2106-3	2018	2018	41 to 98 pounds	5	Suppressed
	"Albany County, NY"	36001	White	2106-3	2019	2019	Less than 11 pounds	1	14
	"Albany County, NY"	36001	White	2106-3	2019	2019	11 to 20 pounds	2	24
	"Albany County, NY"	36001	White	2106-3	2019	2019	21 to 30 pounds	3	23
	"Albany County, NY"	36001	White	2106-3	2019	2019	31 to 40 pounds	4	Suppressed
	"Albany County, NY"	36001	White	2106-3	2019	2019	41 to 98 pounds	5	Suppressed
	"Albany County, NY"	36001	White	2106-3	2020	2020	Less than 11 pounds	1	16
	"Albany County, NY"	36001	White	2106-3	2020	2020	11 to 20 pounds	2	19
	"Albany County, NY"	36001	White	2106-3	2020	2020	21 to 30 pounds	3	18
	"Albany County, NY"	36001	White	2106-3	2020	2020	31 to 40 pounds	4	16
	"Albany County, NY"	36001	White	2106-3	2020	2020	41 to 98 pounds	5	Suppressed
	"Albany County, NY"	36001	White	2106-3	2021	2021	Less than 11 pounds	1	22
	"Albany County, NY"	36001	White	2106-3	2021	2021	11 to 20 pounds	2	27
	"Albany County, NY"	36001	White	2106-3	2021	2021	21 to 30 pounds	3	25
	"Albany County, NY"	36001	White	2106-3	2021	2021	31 to 40 pounds	4	13
	"Albany County, NY"	36001	White	2106-3	2021	2021	41 to 98 pounds	5	Suppressed
	"Bronx County, NY"	36005	Asian	A	2016	2016	Less than 11 pounds	1	21
	"Bronx County, NY"	36005	Asian	A	2016	2016	11 to 20 pounds	2	55
	"Bronx County, NY"	36005	Asian	A	2016	2016	21 to 30 pounds	3	48
	"Bronx County, NY"	36005	Asian	A	2016	2016	31 to 40 pounds	4	23
	"Bronx County, NY"	36005	Asian	A	2016	2016	41 to 98 pounds	5	Suppressed
	"Bronx County, NY"	36005	Asian	A	2017	2017	Less than 11 pounds	1	Suppressed
	"Bronx County, NY"	36005	Asian	A	2017	2017	11 to 20 pounds	2	46
	"Bronx County, NY"	36005	Asian	A	2017	2017	21 to 30 pounds	3	55
	"Bronx County, NY"	36005	Asian	A	2017	2017	31 to 40 pounds	4	30
	"Bronx County, NY"	36005	Asian	A	2017	2017	41 to 98 pounds	5	13
	"Bronx County, NY"	36005	Asian	A	2018	2018	Less than 11 pounds	1	11
	"Bronx County, NY"	36005	Asian	A	2018	2018	11 to 20 pounds	2	32
	"Bronx County, NY"	36005	Asian	A	2018	2018	21 to 30 pounds	3	41
	"Bronx County, NY"	36005	Asian	A	2018	2018	31 to 40 pounds	4	13
	"Bronx County, NY"	36005	Asian	A	2018	2018	41 to 98 pounds	5	Suppressed
	"Bronx County, NY"	36005	Asian	A	2019	2019	Less than 11 pounds	1	12
	"Bronx County, NY"	36005	Asian	A	2019	2019	11 to 20 pounds	2	34
	"Bronx County, NY"	36005	Asian	A	2019	2019	21 to 30 pounds	3	44
	"Bronx County, NY"	36005	Asian	A	2019	2019	31 to 40 pounds	4	Suppressed
	"Bronx County, NY"	36005	Asian	A	2019	2019	41 to 98 pounds	5	Suppressed
	"Bronx County, NY"	36005	Asian	A	2020	2020	Less than 11 pounds	1	12
	"Bronx County, NY"	36005	Asian	A	2020	2020	11 to 20 pounds	2	25
	"Bronx County, NY"	36005	Asian	A	2020	2020	21 to 30 pounds	3	52
	"Bronx County, NY"	36005	Asian	A	2020	2020	31 to 40 pounds	4	12
	"Bronx County, NY"	36005	Asian	A	2020	2020	41 to 98 pounds	5	Suppressed
	"Bronx County, NY"	36005	Asian	A	2021	2021	Less than 11 pounds	1	23
	"Bronx County, NY"	36005	Asian	A	2021	2021	11 to 20 pounds	2	37
	"Bronx County, NY"	36005	Asian	A	2021	2021	21 to 30 pounds	3	30
	"Bronx County, NY"	36005	Asian	A	2021	2021	31 to 40 pounds	4	13
	"Bronx County, NY"	36005	Asian	A	2021	2021	41 to 98 pounds	5	Suppressed
	"Bronx County, NY"	36005	Black or African American	2054-5	2016	2016	Less than 11 pounds	1	85
	"Bronx County, NY"	36005	Black or African American	2054-5	2016	2016	11 to 20 pounds	2	237
	"Bronx County, NY"	36005	Black or African American	2054-5	2016	2016	21 to 30 pounds	3	251
	"Bronx County, NY"	36005	Black or African American	2054-5	2016	2016	31 to 40 pounds	4	107
	"Bronx County, NY"	36005	Black or African American	2054-5	2016	2016	41 to 98 pounds	5	74
	"Bronx County, NY"	36005	Black or African American	2054-5	2017	2017	Less than 11 pounds	1	92
	"Bronx County, NY"	36005	Black or African American	2054-5	2017	2017	11 to 20 pounds	2	233
	"Bronx County, NY"	36005	Black or African American	2054-5	2017	2017	21 to 30 pounds	3	272
	"Bronx County, NY"	36005	Black or African American	2054-5	2017	2017	31 to 40 pounds	4	129
	"Bronx County, NY"	36005	Black or African American	2054-5	2017	2017	41 to 98 pounds	5	79
	"Bronx County, NY"	36005	Black or African American	2054-5	2018	2018	Less than 11 pounds	1	97
	"Bronx County, NY"	36005	Black or African American	2054-5	2018	2018	11 to 20 pounds	2	208
	"Bronx County, NY"	36005	Black or African American	2054-5	2018	2018	21 to 30 pounds	3	254
	"Bronx County, NY"	36005	Black or African American	2054-5	2018	2018	31 to 40 pounds	4	110
	"Bronx County, NY"	36005	Black or African American	2054-5	2018	2018	41 to 98 pounds	5	62
	"Bronx County, NY"	36005	Black or African American	2054-5	2019	2019	Less than 11 pounds	1	92
	"Bronx County, NY"	36005	Black or African American	2054-5	2019	2019	11 to 20 pounds	2	218
	"Bronx County, NY"	36005	Black or African American	2054-5	2019	2019	21 to 30 pounds	3	275
	"Bronx County, NY"	36005	Black or African American	2054-5	2019	2019	31 to 40 pounds	4	131
	"Bronx County, NY"	36005	Black or African American	2054-5	2019	2019	41 to 98 pounds	5	65
	"Bronx County, NY"	36005	Black or African American	2054-5	2020	2020	Less than 11 pounds	1	133
	"Bronx County, NY"	36005	Black or African American	2054-5	2020	2020	11 to 20 pounds	2	215
	"Bronx County, NY"	36005	Black or African American	2054-5	2020	2020	21 to 30 pounds	3	266
	"Bronx County, NY"	36005	Black or African American	2054-5	2020	2020	31 to 40 pounds	4	122
