"Notes"	"County of Residence"	"County of Residence Code"	"Year"	"Year Code"	"Mother's Weight Gain Recode"	"Mother's Weight Gain Recode Code"	Births
	"Albany County, NY"	"36001"	"2016"	"2016"	"Less than 11 pounds"	"1"	Suppressed
	"Albany County, NY"	"36001"	"2016"	"2016"	"11 to 20 pounds"	"2"	12
	"Albany County, NY"	"36001"	"2016"	"2016"	"21 to 30 pounds"	"3"	13
	"Albany County, NY"	"36001"	"2016"	"2016"	"31 to 40 pounds"	"4"	Suppressed
	"Albany County, NY"	"36001"	"2016"	"2016"	"41 to 98 pounds"	"5"	Suppressed
	"Albany County, NY"	"36001"	"2017"	"2017"	"Less than 11 pounds"	"1"	19
	"Albany County, NY"	"36001"	"2017"	"2017"	"11 to 20 pounds"	"2"	13
	"Albany County, NY"	"36001"	"2017"	"2017"	"21 to 30 pounds"	"3"	12
	"Albany County, NY"	"36001"	"2017"	"2017"	"31 to 40 pounds"	"4"	Suppressed
	"Albany County, NY"	"36001"	"2017"	"2017"	"41 to 98 pounds"	"5"	Suppressed
	"Albany County, NY"	"36001"	"2018"	"2018"	"Less than 11 pounds"	"1"	10
	"Albany County, NY"	"36001"	"2018"	"2018"	"11 to 20 pounds"	"2"	18
	"Albany County, NY"	"36001"	"2018"	"2018"	"21 to 30 pounds"	"3"	13
	"Albany County, NY"	"36001"	"2018"	"2018"	"31 to 40 pounds"	"4"	Suppressed
	"Albany County, NY"	"36001"	"2018"	"2018"	"41 to 98 pounds"	"5"	Suppressed
	"Albany County, NY"	"36001"	"2019"	"2019"	"Less than 11 pounds"	"1"	10
	"Albany County, NY"	"36001"	"2019"	"2019"	"11 to 20 pounds"	"2"	18
	"Albany County, NY"	"36001"	"2019"	"2019"	"21 to 30 pounds"	"3"	17
	"Albany County, NY"	"36001"	"2019"	"2019"	"31 to 40 pounds"	"4"	Suppressed
	"Albany County, NY"	"36001"	"2019"	"2019"	"41 to 98 pounds"	"5"	Suppressed
	"Albany County, NY"	"36001"	"2020"	"2020"	"Less than 11 pounds"	"1"	13
	"Albany County, NY"	"36001"	"2020"	"2020"	"11 to 20 pounds"	"2"	21
	"Albany County, NY"	"36001"	"2020"	"2020"	"21 to 30 pounds"	"3"	Suppressed
	"Albany County, NY"	"36001"	"2020"	"2020"	"31 to 40 pounds"	"4"	Suppressed
	"Albany County, NY"	"36001"	"2020"	"2020"	"41 to 98 pounds"	"5"	Suppressed
	"Albany County, NY"	"36001"	"2021"	"2021"	"Less than 11 pounds"	"1"	23
	"Albany County, NY"	"36001"	"2021"	"2021"	"11 to 20 pounds"	"2"	17
	"Albany County, NY"	"36001"	"2021"	"2021"	"21 to 30 pounds"	"3"	11
	"Albany County, NY"	"36001"	"2021"	"2021"	"31 to 40 pounds"	"4"	Suppressed
	"Albany County, NY"	"36001"	"2021"	"2021"	"41 to 98 pounds"	"5"	Suppressed
	"Bronx County, NY"	"36005"	"2016"	"2016"	"Less than 11 pounds"	"1"	62
	"Bronx County, NY"	"36005"	"2016"	"2016"	"11 to 20 pounds"	"2"	185
	"Bronx County, NY"	"36005"	"2016"	"2016"	"21 to 30 pounds"	"3"	183
	"Bronx County, NY"	"36005"	"2016"	"2016"	"31 to 40 pounds"	"4"	55
	"Bronx County, NY"	"36005"	"2016"	"2016"	"41 to 98 pounds"	"5"	50
	"Bronx County, NY"	"36005"	"2017"	"2017"	"Less than 11 pounds"	"1"	72
	"Bronx County, NY"	"36005"	"2017"	"2017"	"11 to 20 pounds"	"2"	181
	"Bronx County, NY"	"36005"	"2017"	"2017"	"21 to 30 pounds"	"3"	179
	"Bronx County, NY"	"36005"	"2017"	"2017"	"31 to 40 pounds"	"4"	77
	"Bronx County, NY"	"36005"	"2017"	"2017"	"41 to 98 pounds"	"5"	40
