BoroName,BoroCode,race,500-2500g births,total births,percentage
Bronx,2,Asian,571,7775,7.344051447
Bronx,2,Black or African American,2075,48990,4.235558277
Bronx,2,White,480,49352,0.97260496
Bronx,2,Hispanic,4547,61422,7.40288496
Brooklyn,3,Asian,1864,29806,6.253774408
Brooklyn,3,Black or African American,4525,51667,8.758008013
Brooklyn,3,White,3632,119992,3.026868458
Brooklyn,3,Hispanic,2186,32345,6.758386149
Manhattan,1,Asian,804,13932,5.770887166
Manhattan,1,Black or African American,1030,14878,6.922973518
Manhattan,1,White,1872,57714,3.243580414
Manhattan,1,Hispanic,1539,21791,7.062548759
Staten Island,5,Asian,206,3742,5.505077499
Staten Island,5,Black or African American,343,4412,7.77425204
Staten Island,5,White,658,19744,3.332658023
Staten Island,5,Hispanic,441,6402,6.888472352
Queens,4,Asian,3802,49674,7.65390345
Queens,4,Black or African American,2446,29692,8.237909201
Queens,4,White,1465,70897,2.066377985
Queens,4,Hispanic,2787,45246,6.159660522
